id,Geographic Area Name,Total,Hispanic,Not Hispanic,NH White,NH Black,BH American Indian and Alaska Native alone,NH Asian alone,NH Native Hawaiian and Other Pacific Islander alone,NH Other,NH Two or more
0500000US48199,"Hardin County, Texas",55993,3003,52990,48723,3151,139,264,25,50,638
0500000US48207,"Haskell County, Texas",5806,1605,4201,3822,182,32,43,0,11,111
0500000US48227,"Howard County, Texas",36491,15030,21461,18262,1891,247,288,21,4,748
0500000US48289,"Leon County, Texas",16966,2405,14561,12986,1218,99,126,31,6,95
0500000US48333,"Mills County, Texas",4887,892,3995,3971,11,0,3,0,0,10
0500000US48337,"Montague County, Texas",19406,2072,17334,16748,41,50,19,0,0,476
0500000US48351,"Newton County, Texas",14187,490,13697,10442,3024,28,12,0,0,191
0500000US48365,"Panola County, Texas",23574,2017,21557,17311,3844,12,150,10,0,230
0500000US48389,"Reeves County, Texas",14791,11096,3695,2693,661,54,168,0,34,85
0500000US48403,"Sabine County, Texas",10429,422,10007,8977,789,0,10,0,52,179
0500000US48421,"Sherman County, Texas",3067,1327,1740,1712,8,7,0,0,0,13
0500000US48437,"Swisher County, Texas",7541,3253,4288,3584,429,41,14,5,13,202
0500000US48231,"Hunt County, Texas",90322,13837,76485,65807,7044,716,1076,44,51,1747
0500000US48063,"Camp County, Texas",12670,3034,9636,7168,2140,49,40,0,0,239
0500000US48195,"Hansford County, Texas",5532,2569,2963,2950,4,6,0,0,0,3
0500000US48187,"Guadalupe County, Texas",150889,56319,94570,77499,10668,304,2497,36,433,3133
0500000US48077,"Clay County, Texas",10369,587,9782,9370,56,126,29,0,0,201
0500000US48205,"Hartley County, Texas",5821,1527,4294,3467,490,1,81,0,48,207
0500000US48217,"Hill County, Texas",35098,7017,28081,25038,2210,85,102,70,5,571
0500000US48293,"Limestone County, Texas",23480,4994,18486,13905,4140,66,156,0,50,169
0500000US48347,"Nacogdoches County, Texas",65411,12372,53039,39199,11221,172,1072,0,17,1358
0500000US48369,"Parmer County, Texas",9871,6161,3710,3468,161,14,22,0,0,45
0500000US48367,"Parker County, Texas",125963,14461,111502,106370,1642,622,613,52,132,2071
0500000US48377,"Presidio County, Texas",7191,5854,1337,979,0,0,358,0,0,0
0500000US48465,"Val Verde County, Texas",48976,39855,9121,7811,534,64,269,48,0,395
0500000US48109,"Culberson County, Texas",2257,1821,436,392,8,0,6,0,0,30
0500000US48135,"Ector County, Texas",155744,91475,64269,53705,6451,283,1628,26,238,1938
0500000US48169,"Garza County, Texas",6739,3639,3100,2726,300,6,38,0,7,23
0500000US48173,"Glasscock County, Texas",1420,576,844,844,0,0,0,0,0,0
0500000US48185,"Grimes County, Texas",27358,6468,20890,16051,4259,71,28,0,13,468
0500000US48453,"Travis County, Texas",1176584,398398,778186,580292,92653,1875,74442,439,2250,26235
0500000US48085,"Collin County, Texas",914075,137871,776204,540387,84259,2858,123495,568,2377,22260
0500000US48005,"Angelina County, Texas",87700,18871,68829,53704,12878,60,933,9,94,1151
0500000US48087,"Collingsworth County, Texas",3026,946,2080,1824,105,129,4,0,0,18
0500000US48101,"Cottle County, Texas",1498,490,1008,803,153,5,0,0,32,15
0500000US48209,"Hays County, Texas",194843,73608,121235,107718,6784,428,2503,85,410,3307
0500000US48279,"Lamb County, Texas",13368,7347,6021,5319,484,39,72,0,0,107
0500000US48295,"Lipscomb County, Texas",3495,1046,2449,2308,13,24,25,1,2,76
0500000US48301,"Loving County, Texas",74,12,62,55,0,4,0,0,0,3
0500000US48321,"Matagorda County, Texas",36744,15230,21514,16503,3741,160,731,42,0,337
0500000US48371,"Pecos County, Texas",15804,10822,4982,4094,654,87,66,9,20,52
0500000US48395,"Robertson County, Texas",16727,3382,13345,9682,3299,41,45,18,10,250
0500000US48397,"Rockwall County, Texas",90414,15419,74995,65357,5437,201,2195,0,41,1764
0500000US48401,"Rusk County, Texas",53026,8559,44467,34304,9029,101,243,0,30,760
0500000US48441,"Taylor County, Texas",135371,32219,103152,87366,10018,670,2612,73,192,2221
0500000US48447,"Throckmorton County, Texas",1541,244,1297,1271,2,0,5,0,0,19
0500000US48455,"Trinity County, Texas",14481,1347,13134,11454,1382,44,52,0,0,202
0500000US48471,"Walker County, Texas",70818,12584,58234,40319,16198,245,859,10,28,575
0500000US48499,"Wood County, Texas",43315,4167,39148,36029,2389,260,38,34,49,349
0500000US48019,"Bandera County, Texas",21316,3836,17480,16788,213,48,47,0,16,368
0500000US48007,"Aransas County, Texas",24832,6714,18118,16803,390,6,500,0,26,393
0500000US48075,"Childress County, Texas",7064,1536,5528,4525,512,68,102,242,0,79
0500000US48079,"Cochran County, Texas",2932,1672,1260,1104,77,6,0,0,0,73
0500000US48081,"Coke County, Texas",3238,682,2556,2490,21,20,5,0,0,20
0500000US48091,"Comal County, Texas",129100,34565,94535,88661,2547,124,1344,44,132,1683
0500000US48099,"Coryell County, Texas",75818,13459,62359,45085,10391,456,1338,560,25,4504
