"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US48199","Hardin County, Texas","55993","*****","52990","*****","48723","80","3151","83","139","68","264","104","25","47","50","80","638","126","0","31","638","126","3003","*****","2727","185","48","68","0","31","0","31","0","31","75","69","153","140","61","85","92","86"
"0500000US48207","Haskell County, Texas","5806","*****","4201","*****","3822","8","182","40","32","25","43","24","0","19","11","8","111","51","0","19","111","51","1605","*****","1392","121","1","2","0","19","0","19","0","19","204","114","8","14","8","14","0","19"
"0500000US48227","Howard County, Texas","36491","*****","21461","*****","18262","33","1891","265","247","79","288","71","21","28","4","7","748","270","81","56","667","253","15030","*****","12194","474","245","176","110","70","0","28","6","11","2013","419","462","186","350","155","112","98"
"0500000US48289","Leon County, Texas","16966","*****","14561","*****","12986","11","1218","58","99","43","126","16","31","45","6","11","95","49","1","3","94","49","2405","*****","2199","121","45","70","4","6","0","21","0","21","157","99","0","21","0","21","0","21"
"0500000US48333","Mills County, Texas","4887","*****","3995","182","3971","181","11","17","0","13","3","3","0","13","0","13","10","14","0","13","10","14","892","182","818","204","0","13","0","13","0","13","0","13","69","77","5","9","5","9","0","13"
"0500000US48337","Montague County, Texas","19406","*****","17334","*****","16748","21","41","37","50","37","19","31","0","21","0","21","476","67","0","21","476","67","2072","*****","1679","199","0","21","0","21","3","6","0","21","305","186","85","75","36","49","49","61"
"0500000US48351","Newton County, Texas","14187","*****","13697","*****","10442","21","3024","49","28","35","12","26","0","21","0","21","191","56","0","21","191","56","490","*****","485","10","5","9","0","21","0","21","0","21","0","21","0","21","0","21","0","21"
"0500000US48365","Panola County, Texas","23574","*****","21557","*****","17311","25","3844","136","12","22","150","67","10","16","0","25","230","152","0","25","230","152","2017","*****","1699","246","15","25","0","25","0","25","0","25","282","235","21","35","21","35","0","25"
"0500000US48389","Reeves County, Texas","14791","*****","3695","*****","2693","40","661","118","54","87","168","42","0","21","34","42","85","69","0","21","85","69","11096","*****","8825","560","60","57","45","43","0","21","0","21","2051","551","115","91","38","39","77","78"
