GEO.id,GEO.id2,GEO.display-label,HD01_S113,HD01_S114,HD01_S122,HD01_S123,HD01_S124,HD01_S125,HD01_S126,HD01_S127,HD01_S128,HD01_S129
Id,Id2,Geography,Number; Total population,Number; Total population - Hispanic or Latino,Number; Total population - Not Hispanic or Latino,Number; Total population - Not Hispanic or Latino - White alone,Number; Total population - Not Hispanic or Latino - Black or African American alone,Number; Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Number; Total population - Not Hispanic or Latino - Asian alone,Number; Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Number; Total population - Not Hispanic or Latino - Some Other Race alone,Number; Total population - Not Hispanic or Latino - Two or More Races
0500000US48001,48001,"Anderson County, Texas",58458,9287,49171,35792,12222,192,283,16,37,629
0500000US48003,48003,"Andrews County, Texas",14786,7195,7591,7083,199,95,85,1,17,111
0500000US48005,48005,"Angelina County, Texas",86771,17145,69626,54889,12840,255,744,9,94,795
0500000US48007,48007,"Aransas County, Texas",23158,5690,17468,16350,258,118,443,5,21,273
0500000US48009,48009,"Archer County, Texas",9054,675,8379,8182,34,47,18,3,4,91
0500000US48011,48011,"Armstrong County, Texas",1901,124,1777,1725,11,13,0,0,11,17
0500000US48013,48013,"Atascosa County, Texas",44911,27785,17126,16295,256,143,130,14,43,245
0500000US48015,48015,"Austin County, Texas",28417,6641,21776,18657,2622,79,110,1,36,271
0500000US48017,48017,"Bailey County, Texas",7165,4283,2882,2745,67,16,23,0,2,29
0500000US48019,48019,"Bandera County, Texas",20485,3415,17070,16576,90,121,55,0,18,210
0500000US48021,48021,"Bastrop County, Texas",74171,24190,49981,42446,5535,315,449,54,115,1067
0500000US48023,48023,"Baylor County, Texas",3726,455,3271,3147,71,10,4,3,1,35
0500000US48025,48025,"Bee County, Texas",31861,17906,13955,10967,2525,70,162,10,38,183
0500000US48027,48027,"Bell County, Texas",310235,67010,243225,157289,63380,1484,8350,2245,500,9977
0500000US48029,48029,"Bexar County, Texas",1714773,1006958,707815,519123,118460,3809,39561,1806,2881,22175
0500000US48031,48031,"Blanco County, Texas",10497,1909,8588,8336,62,47,49,4,5,85
0500000US48033,48033,"Borden County, Texas",641,95,546,539,0,2,1,0,0,4
0500000US48035,48035,"Bosque County, Texas",18212,2926,15286,14701,277,74,38,2,9,185
0500000US48037,48037,"Bowie County, Texas",92565,6062,86503,61343,22230,572,721,45,88,1504
0500000US48039,48039,"Brazoria County, Texas",313166,86643,226523,166674,36880,1013,17013,58,472,4413
0500000US48041,48041,"Brazos County, Texas",194851,45405,149446,115252,20827,484,9982,82,246,2573
0500000US48043,48043,"Brewster County, Texas",9232,3918,5314,5011,79,38,58,5,11,112
0500000US48045,48045,"Briscoe County, Texas",1637,411,1226,1163,40,2,0,0,0,21
0500000US48047,48047,"Brooks County, Texas",7223,6590,633,573,19,10,18,0,4,9
0500000US48049,48049,"Brown County, Texas",38106,7453,30653,28478,1303,170,160,14,36,492
0500000US48051,48051,"Burleson County, Texas",17187,3166,14021,11696,2064,48,25,3,7,178
0500000US48053,48053,"Burnet County, Texas",42750,8652,34098,32530,700,169,198,13,44,444
0500000US48055,48055,"Caldwell County, Texas",38066,17922,20144,16841,2456,90,344,8,54,351
0500000US48057,48057,"Calhoun County, Texas",21381,9922,11459,9794,519,36,943,4,15,148
0500000US48059,48059,"Callahan County, Texas",13544,1025,12519,12065,135,61,56,7,10,185
0500000US48061,48061,"Cameron County, Texas",406220,357747,48473,43427,1192,385,2486,76,191,716
0500000US48063,48063,"Camp County, Texas",12401,2648,9753,7298,2133,38,59,17,4,204
0500000US48065,48065,"Carson County, Texas",6182,525,5657,5473,35,56,19,0,0,74
0500000US48067,48067,"Cass County, Texas",30464,1053,29411,23522,5299,133,89,4,15,349
0500000US48069,48069,"Castro County, Texas",8062,4828,3234,3004,149,29,30,0,5,17
0500000US48071,48071,"Chambers County, Texas",35096,6635,28461,24767,2817,134,326,13,25,379
0500000US48073,48073,"Cherokee County, Texas",50845,10499,40346,31892,7401,125,221,6,36,665
0500000US48075,48075,"Childress County, Texas",7041,1885,5156,4327,684,28,47,2,9,59
0500000US48077,48077,"Clay County, Texas",10752,467,10285,9941,53,115,28,1,5,142
0500000US48079,48079,"Cochran County, Texas",3127,1654,1473,1329,110,12,3,3,0,16
0500000US48081,48081,"Coke County, Texas",3320,602,2718,2651,7,19,5,1,0,35
0500000US48083,48083,"Coleman County, Texas",8895,1419,7476,7123,186,40,32,1,4,90
0500000US48085,48085,"Collin County, Texas",782341,115354,666987,493492,64715,3278,87276,387,1364,16475
0500000US48087,48087,"Collingsworth County, Texas",3057,916,2141,1937,122,41,3,0,5,33
0500000US48089,48089,"Colorado County, Texas",20874,5452,15422,12496,2636,24,75,15,25,151
0500000US48091,48091,"Comal County, Texas",108472,26989,81483,77387,1606,355,813,45,105,1172
0500000US48093,48093,"Comanche County, Texas",13974,3605,10369,10145,25,47,34,4,8,106
0500000US48095,48095,"Concho County, Texas",4087,2173,1914,1810,57,13,14,5,2,13
0500000US48097,48097,"Cooke County, Texas",38437,5997,32440,30255,1018,303,278,19,35,532
0500000US48099,48099,"Coryell County, Texas",75388,11973,63415,46776,11450,439,1332,632,191,2595
0500000US48101,48101,"Cottle County, Texas",1505,316,1189,1043,129,4,0,1,3,9
0500000US48103,48103,"Crane County, Texas",4375,2409,1966,1761,122,34,13,0,10,26
0500000US48105,48105,"Crockett County, Texas",3719,2352,1367,1312,13,8,11,0,4,19
0500000US48107,48107,"Crosby County, Texas",6059,3171,2888,2625,199,13,4,2,8,37
0500000US48109,48109,"Culberson County, Texas",2398,1827,571,504,8,13,22,0,0,24
0500000US48111,48111,"Dallam County, Texas",6703,2717,3986,3726,81,34,37,5,17,86
0500000US48113,48113,"Dallas County, Texas",2368139,905940,1462199,784693,518732,7330,117797,874,3346,29427
0500000US48115,48115,"Dawson County, Texas",13833,7387,6446,5402,860,28,46,2,13,95
0500000US48117,48117,"Deaf Smith County, Texas",19372,13039,6333,5939,158,52,56,2,29,97
0500000US48119,48119,"Delta County, Texas",5231,288,4943,4351,375,59,30,0,11,117
0500000US48121,48121,"Denton County, Texas",662614,120836,541778,426887,54034,3143,43091,411,1176,13036
0500000US48123,48123,"DeWitt County, Texas",20097,6502,13595,11482,1781,43,44,0,96,149
0500000US48125,48125,"Dickens County, Texas",2444,708,1736,1590,92,21,18,0,0,15
0500000US48127,48127,"Dimmit County, Texas",9996,8616,1380,1217,81,7,51,0,10,14
0500000US48129,48129,"Donley County, Texas",3677,309,3368,3136,163,15,9,2,0,43
0500000US48131,48131,"Duval County, Texas",11782,10424,1358,1206,86,18,17,5,6,20
0500000US48133,48133,"Eastland County, Texas",18583,2673,15910,15271,318,92,62,8,8,151
0500000US48135,48135,"Ector County, Texas",137130,72331,64799,56306,5596,623,1004,106,68,1096
0500000US48137,48137,"Edwards County, Texas",2002,1027,975,947,10,11,3,0,0,4
0500000US48139,48139,"Ellis County, Texas",149610,35161,114449,97987,13161,565,811,87,155,1683
0500000US48141,48141,"El Paso County, Texas",800647,658134,142513,105246,20649,2269,7551,805,602,5391
0500000US48143,48143,"Erath County, Texas",37890,7279,30611,29382,431,170,240,12,18,358
0500000US48145,48145,"Falls County, Texas",17866,3716,14150,9381,4463,60,46,10,24,166
0500000US48147,48147,"Fannin County, Texas",33915,3226,30689,27433,2273,294,122,6,23,538
0500000US48149,48149,"Fayette County, Texas",24554,4585,19969,18038,1599,69,61,6,25,171
0500000US48151,48151,"Fisher County, Texas",3974,999,2975,2797,124,12,7,0,7,28
0500000US48153,48153,"Floyd County, Texas",6446,3410,3036,2777,211,16,11,1,1,19
0500000US48155,48155,"Foard County, Texas",1336,187,1149,1087,53,1,4,0,0,4
