USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
TX	4800100	02409653	Abbott city	25	A	1530585	3191	0.591	0.001	31.885139	-97.074106                                                                                                                      
TX	4800160	02409656	Abernathy city	25	A	7070879	12572	2.73	0.005	33.829704	-101.855065                                                                                                                  
TX	4801000	02409657	Abilene city	25	A	276322903	14012163	106.689	5.41	32.454514	-99.738147                                                                                                              
TX	4801060	02584598	Abram CDP	57	S	8699660	489070	3.359	0.189	26.212593	-98.410851                                                                                                                      
TX	4801108	02409659	Ackerly city	25	A	805187	0	0.311	0.	32.525063	-101.715847                                                                                                                           
TX	4801240	02412335	Addison town	43	A	11338369	8702	4.378	0.003	32.958508	-96.836985                                                                                                                    
TX	4801324	02409665	Adrian city	25	A	1217792	0	0.47	0.	35.274119	-102.667247                                                                                                                            
TX	4801390	02407698	Agua Dulce CDP	57	S	20194254	0	7.797	0.	31.654853	-106.136903                                                                                                                       
TX	4801396	02409667	Agua Dulce city	25	A	883360	0	0.341	0.	27.78273	-97.90985                                                                                                                           
TX	4801420	02584599	Aguilares CDP	57	S	777052	0	0.3	0.	27.451627	-99.093233                                                                                                                             
TX	4801500	02584600	Airport Heights CDP	57	S	102481	0	0.04	0.	26.408735	-98.836695                                                                                                                      
TX	4801514	02407702	Airport Road Addition CDP	57	S	5475252	0	2.114	0.	27.218988	-98.098093                                                                                                              
TX	4801576	02409670	Alamo city	25	A	19406265	0	7.493	0.	26.181073	-98.117661                                                                                                                            
TX	4801600	02409671	Alamo Heights city	25	A	4769155	554	1.841	0.	29.482986	-98.467405                                                                                                                   
TX	4801636	02412341	Alba town	43	A	2726708	17060	1.053	0.007	32.786667	-95.632463                                                                                                                       
TX	4801648	02409676	Albany city	25	A	4057164	0	1.566	0.	32.727265	-99.295664                                                                                                                            
TX	4801696	02407715	Aldine CDP	57	S	20324084	44587	7.847	0.017	29.913438	-95.377431                                                                                                                     
TX	4801744	02409679	Aledo city	25	A	6698862	0	2.586	0.	32.697366	-97.606982                                                                                                                             
TX	4801816	02584601	Alfred CDP	57	S	3226007	0	1.246	0.	27.874145	-97.979839                                                                                                                             
TX	4801852	02409682	Alice city	25	A	31060212	1519590	11.992	0.587	27.755616	-98.065812                                                                                                                  
TX	4801858	02407719	Alice Acres CDP	57	S	15267641	0	5.895	0.	27.711892	-98.107973                                                                                                                       
TX	4801924	02409684	Allen city	25	A	68346290	250894	26.389	0.097	33.109736	-96.673032                                                                                                                   
TX	4802044	02412351	Alma town	43	A	13204158	41586	5.098	0.016	32.276227	-96.543183                                                                                                                      
TX	4802104	02409685	Alpine city	25	A	12436793	1688	4.802	0.001	30.363905	-103.664456                                                                                                                    
TX	4802188	02412356	Alto town	43	A	4415459	0	1.705	0.	31.650982	-95.070785                                                                                                                              
TX	4802194	02584602	Alto Bonito Heights CDP	57	S	133278	0	0.051	0.	26.315777	-98.641329                                                                                                                 
TX	4802212	02409687	Alton city	25	A	18915420	8748	7.303	0.003	26.288775	-98.310581                                                                                                                      
TX	4802260	02409691	Alvarado city	25	A	10753671	1923701	4.152	0.743	32.406109	-97.216012                                                                                                                
TX	4802272	02409692	Alvin city	25	A	62730988	2241943	24.221	0.866	29.340642	-95.552093                                                                                                                  
TX	4802284	02412358	Alvord town	43	A	3944169	0	1.523	0.	33.356968	-97.696026                                                                                                                            
TX	4802286	02584603	Amada Acres CDP	57	S	186552	0	0.072	0.	26.343265	-98.739252                                                                                                                         
TX	4802290	02586907	Amargosa CDP	57	S	3929292	16150	1.517	0.006	27.891132	-98.110027                                                                                                                    
TX	4803000	02409694	Amarillo city	25	A	262507124	4049009	101.355	1.563	35.199875	-101.830199                                                                                                            
TX	4803008	02586908	Amaya CDP	57	S	594086	1192	0.229	0.	28.713886	-99.835838                                                                                                                            
TX	4803072	02409698	Ames city	25	A	8554449	0	3.303	0.	30.045078	-94.737316                                                                                                                              
TX	4803084	02409699	Amherst city	25	A	2368728	0	0.915	0.	34.011982	-102.414776                                                                                                                          
TX	4803096	02584604	Amistad CDP	57	S	3912009	0	1.51	0.	29.524493	-101.15305                                                                                                                             
TX	4803126	02584605	Anacua CDP	57	S	68827	0	0.027	0.	26.385581	-98.919151                                                                                                                               
TX	4803144	02409705	Anahuac city	25	A	5507096	0	2.126	0.	29.764928	-94.678677                                                                                                                           
TX	4803192	02409707	Anderson city	25	A	1325680	4214	0.512	0.002	30.486755	-95.990321                                                                                                                    
TX	4803216	02409708	Andrews city	25	A	17993550	30529	6.947	0.012	32.321336	-102.551846                                                                                                                  
TX	4803264	02409710	Angleton city	25	A	30069644	48854	11.61	0.019	29.171774	-95.429311                                                                                                                  
TX	4803288	02409711	Angus city	25	A	8522600	19734	3.291	0.008	31.999468	-96.427686                                                                                                                      
TX	4803300	02409712	Anna city	25	A	41262640	210593	15.932	0.081	33.347323	-96.550252                                                                                                                    
TX	4803336	02412364	Annetta town	43	A	9723344	151924	3.754	0.059	32.701294	-97.66937                                                                                                                    
TX	4803340	02412365	Annetta North town	43	A	9781264	0	3.777	0.	32.712846	-97.642379                                                                                                                     
TX	4803342	02412366	Annetta South town	43	A	4946045	60359	1.91	0.023	32.672743	-97.616648                                                                                                               
TX	4803360	02412367	Annona town	43	A	2074022	0	0.801	0.	33.581811	-94.913079                                                                                                                            
TX	4803372	02409713	Anson city	25	A	7149485	8855	2.76	0.003	32.754511	-99.896175                                                                                                                        
TX	4803432	02412368	Anthony town	43	A	16554952	184278	6.392	0.071	31.986731	-106.598634                                                                                                                 
TX	4803540	02409717	Anton city	25	A	2024398	0	0.782	0.	33.811319	-102.162173                                                                                                                            
TX	4803564	02409719	Appleby city	25	A	5576425	0	2.153	0.	31.717027	-94.60777                                                                                                                            
TX	4803588	02409720	Aquilla city	25	A	729180	1857	0.282	0.001	31.853894	-97.21964                                                                                                                       
TX	4803600	02409721	Aransas Pass city	25	A	32555415	103269756	12.57	39.873	27.89021	-97.118465                                                                                                          
TX	4803696	02409724	Archer City city	25	A	5677520	79982	2.192	0.031	33.593954	-98.6255                                                                                                                  
TX	4803708	02409726	Arcola city	25	A	6623092	93092	2.557	0.036	29.503789	-95.469568                                                                                                                     
TX	4803768	02409728	Argyle city	25	A	29432939	123068	11.364	0.048	33.105115	-97.179016                                                                                                                  
TX	4804000	02409731	Arlington city	25	A	248131644	9586615	95.804	3.701	32.700708	-97.124691                                                                                                             
TX	4804156	02409733	Arp city	25	A	6777723	51670	2.617	0.02	32.226002	-95.052538                                                                                                                         
TX	4804174	02407767	Arroyo Colorado Estates CDP	57	S	2793958	49295	1.079	0.019	26.185638	-97.611826                                                                                                     
TX	4804176	02584606	Arroyo Gardens CDP	57	S	10208110	105863	3.941	0.041	26.20145	-97.499704                                                                                                             
TX	4804300	02409739	Asherton city	25	A	2114772	0	0.817	0.	28.446118	-99.760322                                                                                                                          
TX	4804408	02411650	Aspermont town	43	A	5320619	47365	2.054	0.018	33.140908	-100.224829                                                                                                                 
TX	4804462	02407776	Atascocita CDP	57	S	61682337	454796	23.816	0.176	29.975628	-95.194817                                                                                                               
TX	4804504	02409747	Athens city	25	A	43496987	6126910	16.794	2.366	32.204852	-95.838141                                                                                                                 
TX	4804516	02409749	Atlanta city	25	A	32374780	393234	12.5	0.152	33.113238	-94.16761                                                                                                                    
TX	4804600	02409753	Aubrey city	25	A	6937565	38347	2.679	0.015	33.30855	-96.979088                                                                                                                      
TX	4804672	02409759	Aurora city	25	A	9641986	0	3.723	0.	33.055942	-97.509615                                                                                                                            
TX	4805000	02409761	Austin city	25	A	830831557	17110215	320.786	6.606	30.300455	-97.751242                                                                                                              
TX	4805036	02409762	Austwell city	25	A	940427	0	0.363	0.	28.391101	-96.843715                                                                                                                           
TX	4805072	02411656	Avery town	43	A	2459544	64341	0.95	0.025	33.551195	-94.780084                                                                                                                       
TX	4805084	02411657	Avinger town	43	A	5037407	28441	1.945	0.011	32.89693	-94.552882                                                                                                                     
TX	4805168	02409766	Azle city	25	A	22785526	44899	8.798	0.017	32.895547	-97.53923                                                                                                                       
TX	4805180	02407791	Bacliff CDP	57	S	7087324	11461	2.736	0.004	29.507162	-94.987247                                                                                                                     
TX	4805264	02409769	Bailey city	25	A	1030006	0	0.398	0.	33.433622	-96.165093                                                                                                                            
TX	4805288	02413530	Bailey's Prairie village	47	A	18096374	557183	6.987	0.215	29.147803	-95.499847                                                                                                      
TX	4805336	02409771	Baird city	25	A	6880642	179974	2.657	0.069	32.396067	-99.395993                                                                                                                     
TX	4805372	02409775	Balch Springs city	25	A	23359592	61644	9.019	0.024	32.713904	-96.618062                                                                                                             
TX	4805384	02409776	Balcones Heights city	25	A	1635916	484	0.632	0.	29.490225	-98.549138                                                                                                                
TX	4805456	02409778	Ballinger city	25	A	9063053	5205	3.499	0.002	31.739146	-99.955413                                                                                                                   
TX	4805468	02409779	Balmorhea city	25	A	1002754	0	0.387	0.	30.984158	-103.743875                                                                                                                        
TX	4805520	02584607	B and E CDP	57	S	180524	0	0.07	0.	26.356531	-98.753675                                                                                                                              
TX	4805528	02409781	Bandera city	25	A	3078142	17057	1.188	0.007	29.725126	-99.074261                                                                                                                    
TX	4805552	02409783	Bangs city	25	A	3875355	0	1.496	0.	31.71613	-99.13032                                                                                                                               
TX	4805576	02586909	Banquete CDP	57	S	6080115	12482	2.348	0.005	27.800017	-97.796112                                                                                                                    
TX	4805612	02409786	Bardwell city	25	A	789265	0	0.305	0.	32.267076	-96.695539                                                                                                                           
TX	4805690	02584608	Barrera CDP	57	S	64725	0	0.025	0.	26.392542	-98.898505                                                                                                                              
TX	4805696	02407798	Barrett CDP	57	S	16552514	586924	6.391	0.227	29.865415	-95.052461                                                                                                                   
TX	4805708	02409789	Barry city	25	A	1138578	19964	0.44	0.008	32.100437	-96.640532                                                                                                                       
TX	4805720	02409791	Barstow city	25	A	1702064	0	0.657	0.	31.461545	-103.395503                                                                                                                          
TX	4805732	02409793	Bartlett city	25	A	3208855	7655	1.239	0.003	30.794853	-97.432297                                                                                                                    
TX	4805750	02407799	Barton Creek CDP	57	S	12694468	502	4.901	0.	30.283246	-97.86956                                                                                                                     
TX	4805768	02411664	Bartonville town	43	A	16756427	139863	6.47	0.054	33.085566	-97.14843                                                                                                                
TX	4805864	02409795	Bastrop city	25	A	26356440	334813	10.176	0.129	30.111584	-97.322724                                                                                                                 
TX	4805924	02407803	Batesville CDP	57	S	15319581	8522	5.915	0.003	28.952424	-99.629311                                                                                                                  
TX	4805984	02409798	Bay City city	25	A	22730298	76760	8.776	0.03	28.981588	-95.960928                                                                                                                   
TX	4806060	02409800	Bayou Vista city	25	A	829828	341478	0.32	0.132	29.32557	-94.939208                                                                                                                  
TX	4806104	02411668	Bayside town	43	A	2631505	188751	1.016	0.073	28.096046	-97.210873                                                                                                                   
TX	4806128	02409801	Baytown city	25	A	99850895	2845132	38.553	1.099	29.759367	-94.962955                                                                                                                
TX	4806140	02411669	Bayview town	43	A	10059539	1891067	3.884	0.73	26.133441	-97.397632                                                                                                                  
TX	4806200	02409802	Beach City city	25	A	11599324	0	4.479	0.	29.657208	-94.916217                                                                                                                       
TX	4806242	02413531	Bear Creek village	47	A	3049265	0	1.177	0.	30.182557	-97.939981                                                                                                                     
TX	4806272	02409804	Beasley city	25	A	2766623	6284	1.068	0.002	29.494236	-95.914288                                                                                                                     
TX	4807000	02409806	Beaumont city	25	A	212917379	7386068	82.208	2.852	30.084912	-94.14533                                                                                                               
TX	4807108	02409809	Beckville city	25	A	3152934	0	1.217	0.	32.243602	-94.456087                                                                                                                         
TX	4807132	02409810	Bedford city	25	A	25942936	27046	10.017	0.01	32.845838	-97.135076                                                                                                                   
TX	4807144	02409811	Bedias city	25	A	2866881	25479	1.107	0.01	30.781636	-95.944581                                                                                                                      
TX	4807156	02413532	Bee Cave city	25	A	18239290	8	7.042	0.	30.307412	-97.963888                                                                                                                         
TX	4807192	02409812	Beeville city	25	A	15988783	0	6.173	0.	28.405875	-97.749404                                                                                                                         
TX	4807300	02409818	Bellaire city	25	A	9315776	1966	3.597	0.001	29.704019	-95.460905                                                                                                                    
TX	4807396	02409820	Bellevue city	25	A	2180121	0	0.842	0.	33.633508	-98.016347                                                                                                                          
TX	4807408	02409824	Bellmead city	25	A	17697211	123125	6.833	0.048	31.601451	-97.089037                                                                                                                 
TX	4807420	02411675	Bells town	43	A	5796989	0	2.238	0.	33.61662	-96.412658                                                                                                                              
TX	4807432	02409825	Bellville city	25	A	6878924	49653	2.656	0.019	29.947094	-96.260124                                                                                                                  
TX	4807492	02409828	Belton city	25	A	51817447	2370717	20.007	0.915	31.052345	-97.479542                                                                                                                 
TX	4807528	02409830	Benavides city	25	A	4664534	0	1.801	0.	27.598163	-98.409535                                                                                                                         
TX	4807552	02409831	Benbrook city	25	A	29295405	1244403	11.311	0.48	32.675827	-97.46472                                                                                                                 
TX	4807636	02409834	Benjamin city	25	A	2722373	0	1.051	0.	33.583606	-99.792932                                                                                                                          
TX	4807642	02584609	Benjamin Perez CDP	57	S	54281	0	0.021	0.	26.406028	-98.899653                                                                                                                       
TX	4807852	02411680	Berryville town	43	A	3390973	0	1.309	0.	32.089249	-95.469807                                                                                                                        
TX	4807864	02409838	Bertram city	25	A	3326496	38310	1.284	0.015	30.743031	-98.058588                                                                                                                    
TX	4808104	02409841	Beverly Hills city	25	A	1705342	0	0.658	0.	31.522339	-97.156347                                                                                                                     
TX	4808128	02409842	Bevil Oaks city	25	A	5262958	80536	2.032	0.031	30.15071	-94.270948                                                                                                                  
TX	4808164	02407846	Bigfoot CDP	57	S	61923981	37550	23.909	0.014	29.062275	-98.853353                                                                                                                   
