GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
1620000US4800100,4800100,"Abbott city, Texas",356,361,362,362,361,358,354,354,357,363,367
1620000US4800160,4800160,"Abernathy city, Texas",2805,2812,2818,2833,2822,2796,2743,2725,2747,2745,2724
1620000US4801000,4801000,"Abilene city, Texas",117063,117512,117806,118749,119852,119792,120647,121694,121856,122210,122999
1620000US4801108,4801108,"Ackerly city, Texas",220,220,220,219,219,225,228,230,231,226,227
1620000US4801240,4801240,"Addison town, Texas",13056,13062,13091,13798,15199,15437,15501,15587,15516,15497,15945
1620000US4801324,4801324,"Adrian city, Texas",166,166,166,167,164,168,166,166,166,170,172
1620000US4801396,4801396,"Agua Dulce city, Texas",812,812,811,812,819,823,821,817,815,808,812
1620000US4801576,4801576,"Alamo city, Texas",18353,18516,18600,18849,19049,19188,19357,19527,19596,19640,19754
1620000US4801600,4801600,"Alamo Heights city, Texas",7031,7020,7049,7178,7334,7530,7765,7975,8229,8416,8593
1620000US4801636,4801636,"Alba town, Texas",504,502,502,504,502,504,508,510,517,524,535
1620000US4801648,4801648,"Albany city, Texas",2034,2034,2038,1998,2012,2019,1983,1991,1993,1969,1937
1620000US4801744,4801744,"Aledo city, Texas",2716,2701,2719,2760,2801,2874,3077,3373,3730,4234,4674
1620000US4801852,4801852,"Alice city, Texas",19104,19109,19122,19259,19446,19454,19354,19339,19141,18993,18887
1620000US4801924,4801924,"Allen city, Texas",84246,84275,84920,87661,89786,92138,94168,98190,99512,100912,103383
1620000US4802044,4802044,"Alma town, Texas",331,333,334,338,340,345,352,360,371,379,388
1620000US4802104,4802104,"Alpine city, Texas",5905,5993,6013,6077,6012,6032,5944,5934,5973,6061,6020
1620000US4802188,4802188,"Alto town, Texas",1225,1225,1227,1225,1222,1214,1210,1221,1226,1232,1240
1620000US4802212,4802212,"Alton city, Texas",12341,13917,14021,14361,14808,15011,15451,15676,16810,17223,17588
1620000US4802260,4802260,"Alvarado city, Texas",3785,3752,3761,3748,3755,3765,3834,3932,3955,4125,4382
1620000US4802272,4802272,"Alvin city, Texas",24236,24241,24316,24730,24974,25088,25499,25778,26210,26468,26827
1620000US4802284,4802284,"Alvord town, Texas",1334,1334,1333,1348,1356,1364,1373,1396,1427,1461,1515
1620000US4803000,4803000,"Amarillo city, Texas",190695,190666,191255,193747,195389,196243,197188,197889,198867,199919,199924
1620000US4803072,4803072,"Ames city, Texas",1003,1001,1004,1003,1010,1015,1032,1053,1083,1116,1154
1620000US4803084,4803084,"Amherst city, Texas",721,721,722,721,713,702,694,686,682,679,678
1620000US4803144,4803144,"Anahuac city, Texas",2243,2241,2248,2238,2264,2306,2320,2334,2354,2375,2357
1620000US4803192,4803192,"Anderson city, Texas",222,222,222,223,222,222,225,227,228,231,234
1620000US4803216,4803216,"Andrews city, Texas",11088,11098,11150,11584,12155,12682,13198,13765,13548,13400,13762
1620000US4803264,4803264,"Angleton city, Texas",18862,18827,18821,18828,18882,18890,19297,19303,19381,19536,19565
1620000US4803288,4803288,"Angus city, Texas",414,416,416,416,415,412,414,416,418,418,424
1620000US4803300,4803300,"Anna city, Texas",8249,8234,8277,8448,8567,9604,10615,11541,12171,12782,14243
1620000US4803336,4803336,"Annetta town, Texas",1288,2747,2748,2755,2767,2782,2855,2934,3003,3095,3176
1620000US4803340,4803340,"Annetta North town, Texas",518,497,497,501,503,506,515,524,532,547,557
1620000US4803342,4803342,"Annetta South town, Texas",526,506,506,508,512,515,522,531,539,551,565
1620000US4803360,4803360,"Annona town, Texas",315,315,315,310,311,305,303,298,293,295,291
1620000US4803372,4803372,"Anson city, Texas",2430,2430,2432,2399,2353,2344,2310,2320,2318,2305,2292
1620000US4803432,4803432,"Anthony town, Texas",5011,5011,5037,5106,5203,5335,5442,5528,5611,5657,5655
1620000US4803540,4803540,"Anton city, Texas",1126,1126,1122,1121,1124,1137,1130,1115,1101,1097,1092
1620000US4803564,4803564,"Appleby city, Texas",474,468,469,470,474,466,468,468,470,469,471
1620000US4803588,4803588,"Aquilla city, Texas",109,108,108,108,108,107,107,107,107,109,110
