"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US48005","Angelina County, Texas","53320","4598"
"0500000US48021","Bastrop County, Texas","57938","14278"
"0500000US48027","Bell County, Texas","54560","3637"
"0500000US48029","Bexar County, Texas","58964","1326"
"0500000US48037","Bowie County, Texas","51802","4116"
"0500000US48039","Brazoria County, Texas","84904","6050"
"0500000US48041","Brazos County, Texas","55121","4694"
"0500000US48061","Cameron County, Texas","41123","2705"
"0500000US48085","Collin County, Texas","96134","2691"
"0500000US48091","Comal County, Texas","89315","5992"
"0500000US48099","Coryell County, Texas","53504","2776"
"0500000US48113","Dallas County, Texas","61796","872"
"0500000US48121","Denton County, Texas","90523","2864"
"0500000US48135","Ector County, Texas","67205","6300"
"0500000US48139","Ellis County, Texas","78797","4736"
"0500000US48141","El Paso County, Texas","48903","2259"
"0500000US48157","Fort Bend County, Texas","101293","3485"
"0500000US48167","Galveston County, Texas","74977","6212"
"0500000US48181","Grayson County, Texas","57476","3818"
"0500000US48183","Gregg County, Texas","53793","5737"
"0500000US48187","Guadalupe County, Texas","79768","4653"
"0500000US48201","Harris County, Texas","61618","748"
"0500000US48203","Harrison County, Texas","58817","9901"
"0500000US48209","Hays County, Texas","72058","4103"
"0500000US48213","Henderson County, Texas","51521","6198"
"0500000US48215","Hidalgo County, Texas","41800","1745"
"0500000US48231","Hunt County, Texas","58063","3781"
"0500000US48245","Jefferson County, Texas","55797","3157"
"0500000US48251","Johnson County, Texas","66319","4113"
"0500000US48257","Kaufman County, Texas","75775","5855"
"0500000US48291","Liberty County, Texas","50049","5447"
"0500000US48303","Lubbock County, Texas","55003","2327"
"0500000US48309","McLennan County, Texas","50845","3041"
"0500000US48329","Midland County, Texas","82558","7656"
"0500000US48339","Montgomery County, Texas","88695","4920"
"0500000US48347","Nacogdoches County, Texas","47572","6843"
"0500000US48355","Nueces County, Texas","56789","3701"
"0500000US48361","Orange County, Texas","69052","9545"
"0500000US48367","Parker County, Texas","83262","6017"
"0500000US48375","Potter County, Texas","37297","4242"
"0500000US48381","Randall County, Texas","70651","3548"
"0500000US48397","Rockwall County, Texas","103378","8133"
"0500000US48409","San Patricio County, Texas","57899","3915"
"0500000US48423","Smith County, Texas","59584","5217"
"0500000US48439","Tarrant County, Texas","70139","1343"
"0500000US48441","Taylor County, Texas","55351","4625"
"0500000US48451","Tom Green County, Texas","55988","7608"
"0500000US48453","Travis County, Texas","80726","1375"
"0500000US48469","Victoria County, Texas","57358","7939"
"0500000US48471","Walker County, Texas","47170","10466"
"0500000US48479","Webb County, Texas","56084","4178"
"0500000US48485","Wichita County, Texas","51749","2931"
"0500000US48491","Williamson County, Texas","92179","3372"
"0500000US48497","Wise County, Texas","71421","10020"
