"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)"
"0500000US48005","Angelina County, Texas","45326","5733"
"0500000US48021","Bastrop County, Texas","72107","10428"
"0500000US48027","Bell County, Texas","52479","3660"
"0500000US48029","Bexar County, Texas","54175","1295"
"0500000US48037","Bowie County, Texas","50573","3994"
"0500000US48039","Brazoria County, Texas","82229","4477"
"0500000US48041","Brazos County, Texas","45155","3309"
"0500000US48061","Cameron County, Texas","36975","2807"
"0500000US48085","Collin County, Texas","94933","2291"
"0500000US48091","Comal County, Texas","71060","5692"
"0500000US48099","Coryell County, Texas","52769","3443"
"0500000US48113","Dallas County, Texas","56718","1077"
"0500000US48121","Denton County, Texas","86291","2400"
"0500000US48135","Ector County, Texas","55380","4862"
"0500000US48139","Ellis County, Texas","72138","4357"
"0500000US48141","El Paso County, Texas","44489","1991"
"0500000US48157","Fort Bend County, Texas","90845","4185"
"0500000US48167","Galveston County, Texas","70494","3067"
"0500000US48181","Grayson County, Texas","56718","5443"
"0500000US48183","Gregg County, Texas","47095","2117"
"0500000US48187","Guadalupe County, Texas","66486","3988"
"0500000US48201","Harris County, Texas","58645","1340"
"0500000US48203","Harrison County, Texas","53394","6354"
"0500000US48209","Hays County, Texas","65667","4375"
"0500000US48213","Henderson County, Texas","44971","6416"
"0500000US48215","Hidalgo County, Texas","37106","1502"
"0500000US48231","Hunt County, Texas","55786","5329"
"0500000US48245","Jefferson County, Texas","47657","2587"
"0500000US48251","Johnson County, Texas","62482","5160"
"0500000US48257","Kaufman County, Texas","65841","5643"
"0500000US48291","Liberty County, Texas","45614","7711"
"0500000US48303","Lubbock County, Texas","47317","3580"
"0500000US48309","McLennan County, Texas","47267","2992"
"0500000US48329","Midland County, Texas","75590","7336"
"0500000US48339","Montgomery County, Texas","76811","2526"
"0500000US48347","Nacogdoches County, Texas","47589","9506"
"0500000US48355","Nueces County, Texas","52482","2562"
"0500000US48361","Orange County, Texas","58863","5629"
"0500000US48367","Parker County, Texas","75823","6938"
"0500000US48375","Potter County, Texas","45312","4640"
"0500000US48381","Randall County, Texas","62098","3931"
"0500000US48397","Rockwall County, Texas","94848","8745"
"0500000US48409","San Patricio County, Texas","51012","4457"
"0500000US48423","Smith County, Texas","54339","4442"
"0500000US48439","Tarrant County, Texas","65052","1631"
"0500000US48441","Taylor County, Texas","51894","4757"
"0500000US48451","Tom Green County, Texas","51114","6278"
"0500000US48453","Travis County, Texas","72884","2003"
"0500000US48469","Victoria County, Texas","51892","4818"
"0500000US48471","Walker County, Texas","40936","4209"
"0500000US48479","Webb County, Texas","43408","3320"
"0500000US48485","Wichita County, Texas","43295","3540"
"0500000US48491","Williamson County, Texas","81719","2121"
"0500000US48497","Wise County, Texas","58839","7477"
