CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETSPEC,CPETSPEP,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"001902001"," ","CAYUGA H S",87," ","N","N","N","N","N","N","N","N","ANDERSON","001",34,17.2,198,168,0,0,62,36.9,0,0,27,16.1,"Met Standard",.,"CAYUGA ISD","001902","12","09","09 - 12","S"
"001902041"," ","CAYUGA MIDDLE",75," ","N","N","N","N","N","N","N","N","ANDERSON","001",18,12.2,148,146,.,0,69,47.3,1,0.7,25,17.1,"Met Standard",.,"CAYUGA ISD","001902","08","06","06 - 08","M"
"001902103"," ","CAYUGA EL",87," ","N","N","N","N","N","N","N","N","ANDERSON","001",26,11.2,233,261,.,0,116,44.4,0,0,31,11.9,"Met Standard",.,"CAYUGA ISD","001902","05","PK","PK - 05","E"
"001903001"," ","ELKHART H S",82," ","N","N","N","N","N","N","N","N","ANDERSON","001",60,14.2,422,383,0,0,177,46.2,0,0,46,12,"Met Standard",.,"ELKHART ISD","001903","12","09","09 - 12","S"
"001903041"," ","ELKHART MIDDLE",79," ","N","N","N","N","N","N","N","N","ANDERSON","001",49,15.2,323,277,.,0,153,55.2,0,0,27,9.7,"Met Standard",.,"ELKHART ISD","001903","08","06","06 - 08","M"
"001903101"," ","ELKHART EL",86," ","N","N","N","N","N","N","N","N","ANDERSON","001",21,11.3,186,336,0,0,208,61.9,13,3.9,28,8.3,"Met Standard",.,"ELKHART ISD","001903","02","EE","EE - 02","E"
"001903102"," ","ELKHART INT",86," ","N","N","N","N","N","N","N","N","ANDERSON","001",32,12.5,256,237,.,0,139,58.6,6,2.5,28,11.8,"Met Standard",.,"ELKHART ISD","001903","05","03","03 - 05","E"
"001904001"," ","FRANKSTON H S",80," ","N","N","N","N","N","N","N","N","ANDERSON","001",46,16.5,279,249,.,0,105,42.2,2,0.8,18,7.2,"Met Standard",.,"FRANKSTON ISD","001904","12","09","09 - 12","S"
"001904041"," ","FRANKSTON MIDDLE",81," ","N","N","N","N","N","N","N","N","ANDERSON","001",39,17.7,220,219,.,0,114,52.1,4,1.8,24,11,"Met Standard",.,"FRANKSTON ISD","001904","08","06","06 - 08","M"
"001904102"," ","FRANKSTON EL",83," ","N","N","N","N","N","N","N","N","ANDERSON","001",44,13,339,404,.,0,249,61.6,13,3.2,46,11.4,"Met Standard",.,"FRANKSTON ISD","001904","05","EE","EE - 05","E"
