CAMPUS,CPETSAUC,CPETSAUP,CPETSBHC,CPETSBHP,CPETSIMC,CPETSINC,CPETSINP,CPETSNOC,CPETSNOP,CPETSPHC,CPETSPHP
"001902001",0,0,-1,-1,36,33,91.7,0,0,-1,-1
"001902041",0,0,-1,-1,13,-3,-3,0,0,0,0
"001902103",-1,-1,-1,-1,35,21,60,0,0,11,31.4
"001903001",-1,-1,-3,-3,43,30,69.8,0,0,0,0
"001903002",0,0,0,0,0,0,0,0,0,0,0
"001903041",-1,-1,10,33.3,30,15,50,0,0,-1,-1
"001903101",-3,-3,-1,-1,35,10,28.6,0,0,18,51.4
"001903102",-1,-1,6,23.1,26,14,53.8,0,0,-1,-1
"001904001",-1,-1,-3,-3,18,11,61.1,0,0,0,0
"001904041",-1,-1,12,36.4,33,18,54.5,0,0,-1,-1
"001904102",-3,-3,10,24.4,41,16,39,-1,-1,8,19.5
"001906002",0,0,0,0,14,14,100,0,0,0,0
"001906102",-1,-1,-1,-1,18,8,44.4,-1,-1,6,33.3
"001907001",11,10.1,29,26.6,109,63,57.8,0,0,6,5.5
"001907041",10,16.7,16,26.7,60,34,56.7,0,0,0,0
"001907101",-1,-1,7,17.1,41,6,14.6,-1,-1,23,56.1
"001907102",-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1
"001907107",9,19.1,13,27.7,47,11,23.4,0,0,14,29.8
"001907110",14,14.9,29,30.9,94,45,47.9,0,0,6,6.4
"001908002",-1,-1,5,10.2,49,39,79.6,0,0,-1,-1
"001908041",-1,-1,7,21.9,32,22,68.8,0,0,-1,-1
"001908101",-1,-1,7,11.7,60,42,70,0,0,-3,-3
"001908102",-3,-3,-1,-1,45,17,37.8,6,13.3,15,33.3
"001909001",0,0,-1,-1,19,-3,-3,0,0,0,0
"001909101",-1,-1,-1,-1,31,16,51.6,-1,-1,10,32.3
"002901001",-1,-1,23,24,96,67,69.8,0,0,-1,-1
"002901002",0,0,0,0,-1,-1,-1,0,0,0,0
"002901041",-3,-3,24,21.4,112,74,66.1,0,0,-1,-1
"002901101",0,0,6,23.1,26,10,38.5,0,0,10,38.5
"002901104",6,10,7,11.7,60,37,61.7,0,0,10,16.7
"002901105",-3,-3,8,15.7,51,-1,-1,7,13.7,28,54.9
"003801001",-1,-1,-1,-1,20,16,80,0,0,0,0
"003801042",-1,-1,-1,-1,28,23,82.1,0,0,-1,-1
"003801103",-3,-3,-1,-1,34,13,38.2,0,0,12,35.3
"003902001",12,17.4,-3,-3,69,46,66.7,0,0,-1,-1
"003902004",0,0,0,0,-1,-1,-1,0,0,0,0
"003902041",-3,-3,11,16.9,65,43,66.2,0,0,-1,-1
"003902101",6,9.2,8,12.3,65,-3,-3,-1,-1,43,66.2
"003902102",-1,-1,-3,-3,53,25,47.2,0,0,15,28.3
"003903001",25,9.7,40,15.6,257,176,68.5,0,0,16,6.2
"003903004",0,0,-1,-1,12,-3,-3,0,0,0,0
"003903044",25,11.8,45,21.2,212,125,59,0,0,17,8
"003903120",-1,-1,-3,-3,49,33,67.3,0,0,7,14.3
"003903121",-1,-1,-3,-3,34,12,35.3,0,0,12,35.3
"003903122",-1,-1,14,26.9,52,22,42.3,0,0,-3,-3
"003903123",19,52.8,-1,-1,36,11,30.6,0,0,-1,-1
"003903124",-1,-1,-1,-1,21,-1,-1,0,0,16,76.2
"003903125",-1,-1,0,0,-1,0,0,-1,-1,-1,-1
"003903126",0,0,0,0,0,0,0,0,0,0,0
"003903127",18,26.1,14,20.3,69,9,13,9,13,19,27.5
"003903128",-1,-1,-1,-1,17,-1,-1,0,0,10,58.8
"003903129",-1,-1,-3,-3,44,14,31.8,0,0,22,50
"003903130",-1,-1,0,0,23,-1,-1,0,0,19,82.6
"003903131",0,0,-1,-1,16,-1,-1,0,0,14,87.5
"003903141",0,0,0,0,-1,0,0,0,0,-1,-1
"003903201",0,0,0,0,0,0,0,0,0,0,0
"003904001",-1,-1,6,14.3,42,31,73.8,0,0,-1,-1
"003904005",0,0,-1,-1,-1,-1,-1,0,0,0,0
"003904041",5,7.6,-1,-1,66,54,81.8,0,0,-1,-1
"003904101",5,11.9,-1,-1,42,17,40.5,-1,-1,12,28.6
"003904102",-1,-1,-1,-1,32,22,68.8,0,0,8,25
"003905001",-1,-1,-3,-3,61,47,77,0,0,0,0
"003905004",0,0,-1,-1,-1,-1,-1,0,0,0,0
"003905041",-3,-3,9,20,45,28,62.2,0,0,-1,-1
"003905101",-1,-1,12,37.5,32,-3,-3,0,0,13,40.6
"003905102",-1,-1,0,0,14,0,0,8,57.1,-3,-3
"003905103",5,13.2,11,28.9,38,17,44.7,0,0,5,13.2
"003906001",-1,-1,-1,-1,27,21,77.8,0,0,0,0
"003906101",-1,-1,-1,-1,20,8,40,0,0,10,50
"003907001",9,14.1,15,23.4,64,40,62.5,0,0,0,0
"003907004",0,0,-1,-1,-1,0,0,0,0,0,0
"003907041",11,18,14,23,61,31,50.8,0,0,5,8.2
"003907102",8,10.7,16,21.3,75,22,29.3,5,6.7,24,32
"004901001",-3,-3,16,22.9,70,44,62.9,0,0,-1,-1
"004901041",-1,-1,14,19.2,73,54,74,0,0,-1,-1
"004901101",9,11.3,7,8.8,80,55,68.8,0,0,9,11.3
"004901102",-1,-1,0,0,-1,0,0,-1,-1,-1,-1
"004901103",16,27.1,-3,-3,59,14,23.7,-1,-1,21,35.6
"005901001",-1,-1,13,36.1,36,18,50,0,0,-1,-1
"005901101",-1,-1,-3,-3,32,11,34.4,0,0,14,43.8
"005902001",-1,-1,7,35,20,9,45,0,0,-1,-1
"005902041",-1,-1,-1,-1,21,13,61.9,0,0,-1,-1
"005902101",5,9.3,-1,-1,54,16,29.6,-1,-1,25,46.3
"005904001",-1,-1,0,0,12,-3,-3,0,0,0,0
"005904041",-1,-1,-1,-1,7,-1,-1,0,0,0,0
"005904101",-1,-1,5,33.3,15,-1,-1,0,0,7,46.7
"006902001",0,0,-1,-1,16,-3,-3,0,0,0,0
"006902101",-1,-1,-3,-3,22,8,36.4,0,0,7,31.8
"007901001",-1,-1,-1,-1,19,13,68.4,0,0,-1,-1
"007901003",0,0,0,0,0,0,0,0,0,0,0
"007901041",0,0,-1,-1,23,18,78.3,0,0,-1,-1
"007901101",-1,-1,0,0,20,-3,-3,0,0,9,45
"007902001",-1,-1,6,16.7,36,25,69.4,0,0,-1,-1
"007902005",0,0,0,0,-1,-1,-1,0,0,0,0
"007902006",0,0,-1,-1,-1,-1,-1,0,0,0,0
"007902041",-1,-1,6,16.2,37,28,75.7,0,0,-1,-1
"007902101",5,5.8,17,19.8,86,26,30.2,7,8.1,31,36
"007904001",-1,-1,-3,-3,32,20,62.5,0,0,0,0
"007904002",0,0,0,0,0,0,0,0,0,0,0
"007904003",0,0,0,0,0,0,0,0,0,0,0
"007904041",-1,-1,9,32.1,28,14,50,0,0,-1,-1
"007904101",6,16.2,6,16.2,37,8,21.6,0,0,17,45.9
"007904103",-1,-1,-1,-1,39,-1,-1,-1,-1,32,82.1
"007905001",-3,-3,11,13.1,84,64,76.2,0,0,-1,-1
"007905004",0,0,0,0,0,0,0,0,0,0,0
"007905005",0,0,0,0,-1,-1,-1,0,0,0,0
"007905041",5,5.6,9,10.1,89,69,77.5,0,0,6,6.7
"007905103",8,7.1,24,21.4,112,40,35.7,0,0,40,35.7
"007905105",11,15.9,-1,-1,69,-1,-1,13,18.8,39,56.5
"007906001",-1,-1,-3,-3,52,39,75,0,0,0,0
"007906003",0,0,-1,-1,-1,0,0,0,0,0,0
"007906041",-1,-1,6,16.2,37,27,73,0,0,-1,-1
"007906101",-1,-1,8,22.9,35,5,14.3,-1,-1,14,40
"007906102",-1,-1,5,21.7,23,13,56.5,0,0,-1,-1
"008901001",-3,-3,13,23.6,55,36,65.5,0,0,-1,-1
"008901041",-1,-1,19,33.9,56,28,50,0,0,-3,-3
"008901101",8,13.6,6,10.2,59,7,11.9,9,15.3,29,49.2
