CAMPUS,CPETBILC,CPETBILP,CPETG9XC,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVHSC,CPETVHSP,CPETVOCC,CPETVOCP,CPNTBILC,CPNTBILP,CPNTG9XC,CPNTGIFC,CPNTGIFP,CPNTSPEC,CPNTSPEP,CPNTVHSC,CPNTVHSP
"001902001",0,0,172,14,8.1,34,19.8,134,77.9,165,95.9,0,0,172,14,8.1,34,19.8,134,77.9
"001902041",1,0.8,0,17,13.6,17,13.6,0,0,0,0,1,0.8,0,17,13.6,17,13.6,0,.
"001902103",0,0,0,8,3.1,31,11.9,0,0,0,0,0,0,0,8,3.1,31,11.9,0,.
"001903001",0,0,378,10,2.6,44,11.6,138,36.5,341,90.2,0,0,378,10,2.6,44,11.6,138,36.5
"001903041",3,1.2,0,13,5,29,11.2,0,0,37,14.3,3,1.2,0,13,5,29,11.2,0,.
"001903101",12,3.6,0,4,1.2,48,14.4,0,0,0,0,12,3.6,0,4,1.2,49,14.7,0,.
"001903102",7,2.5,0,17,6.1,26,9.4,0,0,0,0,7,2.5,0,17,6.1,26,9.4,0,.
"001904001",3,1.3,228,40,17.5,19,8.3,207,90.8,207,90.8,3,1.3,228,40,17.5,19,8.3,207,90.8
"001904041",5,2.8,0,14,8,28,15.9,0,0,0,0,5,2.8,0,14,8,28,15.9,0,.
"001904102",14,3.7,0,17,4.5,44,11.5,0,0,0,0,14,3.7,0,17,4.5,45,11.8,0,.
"001906002",1,0.9,111,7,6.3,11,9.9,49,44.1,107,96.4,1,0.9,111,7,6.3,11,9.9,49,44.1
"001906102",6,2.5,0,16,6.6,14,5.8,0,0,53,22,6,2.5,0,16,6.6,15,6.2,0,.
"001907001",126,12.8,987,35,3.5,103,10.4,918,93,975,98.8,126,12.8,987,35,3.5,103,10.4,918,93
"001907041",85,16.4,0,18,3.5,70,13.5,0,0,133,25.7,85,16.4,0,18,3.5,70,13.5,0,.
"001907101",96,18.6,0,3,0.6,50,9.7,0,0,0,0,96,18.5,0,3,0.6,51,9.8,0,.
"001907102",20,7.6,0,0,0,22,8.4,0,0,0,0,20,7.6,0,0,0,23,8.7,0,.
"001907107",92,20.4,0,8,1.8,64,14.2,0,0,0,0,92,20.4,0,8,1.8,64,14.2,0,.
"001907110",135,19.3,0,23,3.3,90,12.9,0,0,0,0,135,19.3,0,23,3.3,90,12.9,0,.
"001908002",13,2.9,441,13,2.9,54,12.2,335,76,368,83.4,13,2.9,441,13,2.9,54,12.2,335,76
"001908041",15,7,0,12,5.6,32,15,0,0,39,18.3,15,7,0,12,5.6,32,15,0,.
