CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"001902001",0,0,18,10.1,36,20.1,174,97.2
"001902041",1,0.8,17,14.3,13,10.9,0,0
"001902103",0,0,13,4.9,35,13.2,0,0
"001903001",0,0,9,2.4,43,11.4,345,91.8
"001903002",0,0,0,0,0,0,1,50
"001903041",2,0.8,15,5.7,30,11.5,56,21.5
"001903101",17,5,5,1.5,35,10.4,0,0
"001903102",7,2.5,16,5.8,26,9.4,0,0
"001904001",2,0.9,27,11.8,18,7.9,211,92.5
"001904041",5,2.6,26,13.4,33,17,46,23.7
"001904102",16,4.2,18,4.7,41,10.8,0,0
"001906002",1,0.9,7,6.5,14,13.1,103,96.3
"001906102",6,2.3,15,5.8,18,6.9,57,22
"001907001",85,8.6,37,3.8,109,11.1,940,95.5
"001907041",98,18.9,19,3.7,60,11.6,131,25.2
"001907101",95,19.2,2,0.4,41,8.3,0,0
"001907102",37,21.3,0,0,11,6.3,0,0
"001907107",100,21.6,11,2.4,47,10.2,0,0
"001907110",144,19,28,3.7,94,12.4,0,0
"001908002",12,2.9,15,3.6,49,11.7,347,83
"001908041",18,7.6,5,2.1,32,13.5,59,24.9
"001908101",25,5.6,13,2.9,60,13.4,0,0
"001908102",29,7,3,0.7,45,10.8,0,0
"001909001",2,1.7,7,6.1,19,16.5,115,100
"001909101",2,0.7,14,4.8,31,10.7,45,15.5
"002901001",51,4.5,81,7.1,96,8.4,921,80.6
"002901002",2,4.9,0,0,1,2.4,15,36.6
"002901041",85,8.3,72,7,112,10.9,0,0
"002901101",132,21.7,22,3.6,26,4.3,0,0
"002901104",124,18.4,50,7.4,60,8.9,0,0
"002901105",212,25.8,8,1,51,6.2,0,0
"003801001",7,2.8,38,15.1,20,8,150,59.8
"003801042",9,3.5,32,12.5,28,10.9,0,0
"003801103",33,6.4,26,5.1,34,6.6,0,0
"003902001",10,1.2,72,8.6,69,8.2,790,94.3
"003902004",0,0,0,0,1,7.1,6,42.9
"003902041",39,5.5,38,5.4,65,9.2,151,21.4
"003902101",67,8.8,19,2.5,65,8.6,0,0
"003902102",54,8.4,28,4.4,53,8.3,0,0
"003903001",347,16.3,247,11.6,257,12.1,1586,74.4
"003903004",4,10.3,0,0,12,30.8,19,48.7
"003903044",396,23.1,228,13.3,212,12.4,314,18.3
"003903120",34,13.2,0,0,49,19,0,0
"003903121",32,7.9,201,49.4,34,8.4,0,0
"003903122",26,8.7,1,0.3,52,17.3,0,0
"003903123",64,26.8,0,0,36,15.1,0,0
"003903124",19,5.3,219,60.7,21,5.8,0,0
"003903125",106,30.5,0,0,3,0.9,0,0
"003903126",58,25.6,0,0,0,0,0,0
"003903127",43,16,0,0,69,25.7,0,0
"003903128",37,12.5,0,0,17,5.7,0,0
"003903129",434,78.8,0,0,44,8,0,0
"003903130",28,10.1,0,0,23,8.3,0,0
"003903131",315,78.8,0,0,16,4,0,0
"003903141",0,0,0,0,3,100,0,0
"003903201",0,0,0,0,0,0,2,28.6
"003904001",2,0.4,31,6,42,8.2,488,94.8
"003904005",0,0,0,0,2,13.3,3,20
"003904041",3,0.8,25,6.3,66,16.6,88,22.2
"003904101",5,1,10,2,42,8.6,0,0
"003904102",8,3.3,7,2.9,32,13.1,0,0
"003905001",26,5.2,24,4.8,61,12.2,493,98.8
"003905004",0,0,0,0,2,33.3,2,33.3
"003905041",80,18.6,19,4.4,45,10.5,0,0
"003905101",77,20.2,9,2.4,32,8.4,0,0
"003905102",26,15.8,0,0,14,8.5,0,0
"003905103",101,26,16,4.1,38,9.8,0,0
"003906001",0,0,14,7.4,27,14.2,122,64.2
"003906101",0,0,5,2.9,20,11.8,0,0
"003907001",5,1.2,18,4.5,64,15.9,389,96.5
"003907004",0,0,0,0,1,100,1,100
"003907041",9,2.1,21,5,61,14.5,88,20.9
"003907102",37,5.8,29,4.5,75,11.7,0,0
"004901001",23,2.7,39,4.5,70,8.2,589,68.6
"004901041",32,4.9,41,6.3,73,11.3,223,34.4
"004901101",42,6.5,47,7.2,80,12.3,0,0
"004901102",6,7.4,0,0,4,4.9,0,0
"004901103",39,6.6,15,2.5,59,10,0,0
"005901001",1,0.4,27,11.7,36,15.6,228,98.7
"005901101",7,2.6,6,2.2,32,11.7,0,0
"005902001",0,0,27,8.5,20,6.3,294,92.2
"005902041",0,0,15,6,21,8.4,0,0
"005902101",3,0.6,24,5,54,11.3,0,0
"005904001",3,2.2,24,17.8,12,8.9,134,99.3
"005904041",2,2.2,11,12,7,7.6,19,20.7
"005904101",22,12.5,5,2.8,15,8.5,0,0
"006902001",2,1.4,5,3.6,16,11.4,128,91.4
