CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"001902001",0,0,23,13.7,27,16.1,160,95.2
"001902041",1,0.7,17,11.6,25,17.1,0,0
"001902103",0,0,17,6.5,31,11.9,0,0
"001903001",0,0,11,2.9,46,12,341,89
"001903041",0,0,13,4.7,27,9.7,56,20.2
"001903101",11,3.3,2,0.6,28,8.3,0,0
"001903102",6,2.5,15,6.3,28,11.8,0,0
"001904001",2,0.8,24,9.6,18,7.2,222,89.2
"001904041",4,1.8,28,12.8,24,11,0,0
"001904102",13,3.2,20,5,46,11.4,0,0
"001906002",0,0,7,6.7,15,14.3,99,94.3
"001906102",5,2,20,7.8,20,7.8,56,22
"001907001",59,6.1,32,3.3,85,8.8,958,99.2
"001907041",90,17.9,20,4,60,11.9,210,41.7
"001907101",88,17.5,1,0.2,43,8.5,0,0
"001907102",34,17.8,0,0,16,8.4,0,0
"001907107",106,21.7,12,2.5,36,7.4,0,0
"001907110",149,19.6,27,3.5,75,9.9,0,0
"001908002",17,4,15,3.5,50,11.8,373,88
"001908041",15,6.2,8,3.3,27,11.2,37,15.3
"001908101",23,5,9,2,57,12.4,0,0
"001908102",36,8.3,2,0.5,35,8.1,0,0
"001909001",1,0.9,6,5.3,20,17.5,111,97.4
"001909101",4,1.3,12,3.9,33,10.7,43,13.9
"002901001",39,3.7,66,6.3,83,7.9,887,84
"002901002",2,4.7,0,0,1,2.3,24,55.8
"002901041",69,7.5,75,8.1,81,8.8,0,0
"002901101",115,18.9,23,3.8,35,5.7,0,0
"002901104",120,18.5,47,7.3,51,7.9,0,0
"002901105",182,23.3,3,0.4,40,5.1,0,0
"003801001",7,3,31,13.1,22,9.3,102,43.2
"003801042",13,5.3,41,16.7,26,10.6,0,0
"003801103",35,6.5,28,5.2,34,6.3,0,0
"003902001",5,0.6,85,10.3,71,8.6,785,95.3
"003902004",1,8.3,0,0,1,8.3,5,41.7
"003902041",46,7,39,5.9,64,9.7,136,20.6
"003902101",76,10.6,14,2,54,7.6,0,0
"003902102",61,9,28,4.1,53,7.8,0,0
"003903001",290,13.6,233,11,246,11.6,1547,72.8
"003903004",2,6.9,0,0,2,6.9,8,27.6
"003903044",405,23.8,227,13.3,212,12.4,337,19.8
"003903120",46,16,0,0,45,15.6,0,0
"003903121",25,5.7,214,48.7,32,7.3,0,0
"003903122",22,7.4,0,0,49,16.4,0,0
"003903123",82,31.7,0,0,37,14.3,0,0
"003903124",27,7.2,233,61.8,17,4.5,0,0
"003903125",104,29.5,0,0,3,0.9,0,0
"003903126",70,29.2,0,0,2,0.8,0,0
"003903127",46,16.7,0,0,70,25.5,0,0
"003903128",35,13.4,0,0,28,10.7,0,0
"003903129",405,75.1,0,0,35,6.5,0,0
"003903130",33,10.5,0,0,26,8.3,0,0
"003903131",293,66.6,0,0,17,3.9,0,0
"003903141",0,0,0,0,6,100,0,0
"003903201",0,0,0,0,1,33.3,0,0
"003904001",2,0.4,34,6.7,35,6.8,492,96.3
"003904005",0,0,0,0,2,9.5,4,19
"003904041",2,0.5,18,4.5,51,12.8,77,19.3
"003904101",7,1.4,7,1.4,30,5.8,0,0
"003904102",5,1.8,16,5.9,34,12.5,0,0
"003905001",23,4.7,27,5.5,53,10.8,464,94.7
"003905004",0,0,0,0,1,20,0,0
"003905041",33,12.3,14,5.2,31,11.6,0,0
"003905101",102,20,14,2.8,35,6.9,0,0
"003905102",34,18.7,0,0,9,4.9,0,0
"003905103",107,24.9,13,3,52,12.1,0,0
"003906001",0,0,7,3.7,30,15.8,130,68.4
"003906101",0,0,3,1.7,17,9.6,0,0
"003907001",7,1.6,23,5.3,67,15.4,427,98.4
"003907004",0,0,0,0,1,14.3,5,71.4
"003907041",11,2.6,23,5.4,55,13,94,22.2
"003907102",39,5.9,25,3.8,65,9.9,0,0
"004901001",21,2.7,24,3.1,65,8.3,529,67.7
"004901041",27,4.4,39,6.4,57,9.3,46,7.5
"004901101",23,6.1,26,7,38,10.2,0,0
"004901102",8,3.6,0,0,15,6.8,0,0
"004901103",36,6.4,33,5.9,54,9.7,0,0
"005901001",1,0.5,27,12.3,29,13.2,140,63.9
"005901101",7,2.8,7,2.8,34,13.4,0,0
"005902001",0,0,17,5.5,22,7.2,265,86.3
"005902041",0,0,15,5.8,21,8.2,0,0
"005902101",3,0.7,21,4.8,43,9.7,0,0
"005904001",2,1.4,23,16.5,12,8.6,138,99.3
"005904041",1,1.1,11,12,11,12,20,21.7
"005904101",22,11.2,4,2,15,7.6,0,0
"006902001",4,2.5,3,1.9,18,11.3,105,65.6
"006902101",3,1.4,8,3.8,20,9.4,0,0
"007901001",4,2.7,13,8.7,19,12.7,145,96.7
"007901041",9,6,8,5.3,19,12.7,0,0
"007901101",14,7.3,2,1,19,9.9,0,0
"007902001",7,1.6,34,7.9,36,8.4,406,94.6
"007902004",0,0,0,0,0,0,0,0
"007902005",0,0,0,0,0,0,0,0
"007902006",0,0,0,0,0,0,6,100
"007902041",7,1.9,18,5,43,11.9,54,14.9
"007902101",22,2.7,13,1.6,69,8.5,0,0
"007904001",42,9.4,21,4.7,25,5.6,428,95.7
"007904002",0,0,0,0,0,0,4,80
"007904041",35,8.9,18,4.6,22,5.6,124,31.5
"007904101",63,12.6,14,2.8,44,8.8,0,0
"007904103",37,10.7,0,0,37,10.7,0,0
"007905001",14,1.4,59,5.9,78,7.8,946,95.2
"007905005",0,0,0,0,1,10,6,60
"007905041",15,2,43,5.7,81,10.7,0,0
