DISTRICT,DPETBILC,DPETBILP,DPETGIFC,DPETGIFP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP
"001902",1,0.2,57,9.9,83,14.4,160,27.8
"001903",17,1.4,41,3.3,129,10.5,397,32.2
"001904",19,2.2,72,8.3,88,10.1,222,25.5
"001906",5,1.4,27,7.5,35,9.7,155,43.1
"001907",526,15.4,92,2.7,315,9.2,1168,34.2
"001908",91,5.8,34,2.2,169,10.8,410,26.3
"001909",5,1.2,18,4.3,53,12.5,154,36.4
"002901",527,13,214,5.3,291,7.2,911,22.4
"003801",55,5.4,100,9.8,82,8,102,10
"003902",189,6.5,166,5.7,243,8.4,926,32.1
"003903",1885,23.7,907,11.4,828,10.4,1892,23.8
"003904",16,0.9,75,4.4,152,8.8,573,33.4
"003905",299,15.9,68,3.6,181,9.6,464,24.6
"003906",0,0,10,2.7,47,12.8,130,35.3
"003907",57,3.7,71,4.7,188,12.4,526,34.6
"004901",115,4.5,122,4.8,229,9,575,22.6
"005901",8,1.7,34,7.2,63,13.3,140,29.6
"005902",3,0.3,53,5.3,86,8.5,265,26.3
"005904",25,5.8,38,8.9,38,8.9,158,36.9
"006902",7,1.9,11,3,38,10.2,105,28.2
"007901",27,5.5,23,4.7,57,11.6,145,29.5
"007902",36,2.2,65,4,148,9.1,466,28.8
"007904",177,10.5,53,3.1,128,7.6,556,32.9
"007905",107,3,153,4.3,319,8.9,952,26.7
"007906",85,4.9,86,5,140,8.1,603,34.8
"008901",203,9,235,10.4,214,9.5,797,35.4
"008902",384,13.7,134,4.8,250,8.9,803,28.6
"008903",120,14.9,25,3.1,91,11.3,229,28.4
"009901",279,19.4,24,1.7,193,13.4,402,27.9
"010901",4,1.2,24,7.5,27,8.4,109,33.9
"010902",95,4.2,109,4.8,261,11.5,762,33.5
"011901",2691,24.8,715,6.6,1158,10.7,2617,24.1
"011902",1348,31.3,350,8.1,417,9.7,1389,32.2
"011904",124,7,135,7.6,178,10,437,24.5
"011905",59,18.2,25,7.7,32,9.9,47,14.5
"012901",3,0.5,16,2.8,65,11.3,162,28.1
"013801",5,1.1,24,5.3,32,7,0,0
"013901",58,1.8,128,3.9,334,10.1,865,26.3
"013902",5,1.7,5,1.7,17,5.7,0,0
"013903",3,0.7,14,3.3,47,11,199,46.4
"013905",13,1.6,57,6.8,89,10.7,284,34.1
"014801",105,4.7,0,0,240,10.8,1200,54
"014803",32,3.3,0,0,108,11.3,201,20.9
"014804",12,0.7,0,0,150,9,0,0
"014901",67,4.3,122,7.9,122,7.9,397,25.5
"014902",41,12,1,0.3,30,8.8,96,28.1
"014903",748,6.5,977,8.5,1343,11.7,2606,22.7
"014905",12,1.8,38,5.7,45,6.7,256,38.3
"014906",4122,9.3,1357,3.1,5173,11.7,8098,18.3
"014907",41,4.6,76,8.5,68,7.6,273,30.6
"014908",97,5.2,119,6.4,106,5.7,455,24.4
"014909",986,11.5,571,6.6,949,11,2117,24.6
"014910",48,3.1,100,6.5,194,12.7,345,22.6
"015801",0,0,0,0,32,11.9,249,92.6
"015802",271,20,0,0,86,6.3,236,17.4
"015805",63,8.9,0,0,46,6.5,7,1
"015806",133,19.9,0,0,47,7,202,30.3
"015807",77,8.8,40,4.6,95,10.8,338,38.5
"015808",8,0.9,0,0,183,21.1,39,4.5
"015809",93,24.9,1,0.3,39,10.4,0,0
"015814",8,6.4,0,0,8,6.4,15,12
"015815",152,29.9,0,0,42,8.3,252,49.6
