LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
149900,CRANSTON,RI,02920,722410,Corporation,White,Male Owned,Unanswered,,35,04/06/2020,The Washington Trust Company of Westerly,RI-02
149900,East Providence,RI,02914,812210,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
149837,BLOCK ISLAND,RI,02807,221121,Non-Profit Organization,White,Male Owned,Unanswered,Y,7,05/22/2020,The Washington Trust Company of Westerly,RI-02
149800,SMITHFIELD,RI,02917,531210,Corporation,Unanswered,Unanswered,Unanswered,,18,04/06/2020,Fall River Five Cents Savings Bank d/b/a BankFive,RI-01
149750,NARRAGANSETT,RI,02882,444130,Subchapter S Corporation,White,Male Owned,Non-Veteran,,16,04/06/2020,BankNewport,RI-02
149747,PROVIDENCE,RI,02903,541110,Corporation,Unanswered,Unanswered,Unanswered,,10,05/03/2020,"Bank of America, National Association",RI-01
149700,GREENVILLE,RI,02828,523930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/27/2020,Bristol County Savings Bank,RI-01
149700,LINCOLN,RI,02865,423450,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,0,04/06/2020,Bank Rhode Island,RI-01
149700,WEST WARWICK,RI,02893,523910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,48,04/07/2020,Bank Rhode Island,RI-02
149400,PROVIDENCE,RI,02903,541940,Corporation,White,Female Owned,Non-Veteran,,14,04/04/2020,HarborOne Bank,RI-01
149400,Warwick,RI,02889,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/01/2020,"Citizens Bank, National Association",RI-02
149365,MIDDLETOWN,RI,02842,487210,Corporation,White,Male Owned,Non-Veteran,,10,04/30/2020,BankNewport,RI-01
149200,WARWICK,RI,02888,327110,Corporation,Unanswered,Unanswered,Unanswered,,13,04/13/2020,HarborOne Bank,RI-02
149152.5,JOHNSTON,RI,02919,322211,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,18,04/07/2020,Bank Rhode Island,RI-02
149100,Cranston,RI,02910,337110,Subchapter S Corporation,Unanswered,Male Owned,Veteran,,,04/29/2020,"Citizens Bank, National Association",RI-02
149000,WOONSOCKET,RI,02895,315991,Subchapter S Corporation,White,Male Owned,Non-Veteran,,24,04/06/2020,Bank Rhode Island,RI-01
148900,WARWICK,RI,02888,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/08/2020,HarborOne Bank,RI-02
148795,NEWPORT,RI,02840,531190,Corporation,White,Male Owned,Unanswered,,7,04/04/2020,BankNewport,RI-01
148700,Pawtucket,RI,02842,312120,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
148600,PROVIDENCE,RI,02908,519190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
148525,SAUNDERSTOWN,RI,02874,812112,Limited Liability Partnership,Unanswered,Female Owned,Unanswered,,21,04/28/2020,Navigant CU,RI-02
148400,Cranston,RI,02920,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-02
148200,NEWPORT,RI,02840,236210,Corporation,White,Male Owned,Non-Veteran,,11,04/06/2020,BankNewport,RI-01
148200,EAST PROVIDENCE,RI,02914,624110,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,21,04/08/2020,Navigant CU,RI-01
148200,Cumberland,RI,02864,238210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
148200,Warwick,RI,02888,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-02
148200,Providence,RI,02908,561621,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",RI-01
148100,EAST PROVIDENCE,RI,02914,323113,Corporation,Unanswered,Unanswered,Unanswered,,17,04/09/2020,Bank Rhode Island,RI-01
148000,NORTH KINGSTOWN,RI,02852,621210,Corporation,Unanswered,Unanswered,Unanswered,,12,04/06/2020,Bank Rhode Island,RI-02
147800,WEST WARWICK,RI,02893,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,36,04/27/2020,Centreville Bank,RI-02
147800,CRANSTON,RI,02920,423830,Corporation,Unanswered,Unanswered,Unanswered,,10,05/03/2020,"Bank of America, National Association",RI-02
147700,PROVIDENCE,RI,02908,312120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,06/30/2020,Centreville Bank,RI-01
147500,Dorchester,RI,02895,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"Citizens Bank, National Association",RI-01
147470,NORTH PROVIDENCE,RI,02904,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,05/02/2020,"Bank of America, National Association",RI-01
147374,CRANSTON,RI,02920,923110,Non-Profit Organization,White,Male Owned,Unanswered,Y,9,04/13/2020,The Washington Trust Company of Westerly,RI-02
147296,Warren,RI,02885,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/13/2020,Rockland Trust Company,RI-01
147200,NORTH PROVIDENCE,RI,02911,811121,Corporation,White,Male Owned,Non-Veteran,,11,04/08/2020,Bristol County Savings Bank,RI-01
147200,mapleville,RI,02839,811121,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",RI-02
147100,SMITHFIELD,RI,02917,238320,Corporation,Unanswered,Unanswered,Unanswered,,16,04/14/2020,Bristol County Savings Bank,RI-01
147025,EAST PROVIDENCE,RI,02915,524210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/28/2020,"Webster Bank, National Association",RI-01
147000,CUMBERLAND,RI,02864,238110,Corporation,Unanswered,Male Owned,Unanswered,,56,04/10/2020,Navigant CU,RI-01
147000,WARWICK,RI,02889,624410,Corporation,Unanswered,Unanswered,Unanswered,,34,04/11/2020,Bank Rhode Island,RI-02
147000,PROVIDENCE,RI,02903,722511,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,0,04/29/2020,HarborOne Bank,RI-01
147000,WAKEFIELD,RI,02879,621340,Corporation,Unanswered,Unanswered,Unanswered,,17,04/06/2020,The Washington Trust Company of Westerly,RI-02
