CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"001902001","CAYUGA H S"," ","N","N","N","N","N","N","N","N","M"," ","CAYUGA ISD","001902","12","09","09 - 12","S"
"001902041","CAYUGA MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","CAYUGA ISD","001902","08","06","06 - 08","M"
"001902103","CAYUGA EL"," ","N","N","N","N","N","N","N","N","M"," ","CAYUGA ISD","001902","05","EE","EE - 05","E"
"001903001","ELKHART H S"," ","N","N","N","N","N","N","N","N","M"," ","ELKHART ISD","001903","12","09","09 - 12","S"
"001903041","ELKHART MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","ELKHART ISD","001903","08","06","06 - 08","M"
"001903101","ELKHART EL"," ","N","N","N","N","N","N","N","N","M"," ","ELKHART ISD","001903","02","EE","EE - 02","E"
"001903102","ELKHART INT"," ","N","N","N","N","N","N","N","N","M"," ","ELKHART ISD","001903","05","03","03 - 05","E"
"001904001","FRANKSTON H S"," ","N","N","N","N","N","N","N","N","M"," ","FRANKSTON ISD","001904","12","09","09 - 12","S"
"001904041","FRANKSTON MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","FRANKSTON ISD","001904","08","06","06 - 08","M"
"001904102","FRANKSTON EL"," ","N","N","N","N","N","N","N","N","M"," ","FRANKSTON ISD","001904","05","EE","EE - 05","E"
"001906002","NECHES H S"," ","N","N","N","N","N","N","N","N","M"," ","NECHES ISD","001906","12","09","09 - 12","S"
"001906102","NECHES EL"," ","N","N","N","N","N","N","N","N","M"," ","NECHES ISD","001906","08","PK","PK - 08","E"
"001907001","PALESTINE H S"," ","N","N","N","N","N","N","N","N","M"," ","PALESTINE ISD","001907","12","09","09 - 12","S"
"001907041","PALESTINE J H"," ","N","N","N","N","N","N","N","N","M"," ","PALESTINE ISD","001907","08","07","07 - 08","M"
"001907101","NORTHSIDE PRI"," ","N","N","N","N","N","N","N","N","M"," ","PALESTINE ISD","001907","01","PK","PK - 01","E"
"001907102","WASHINGTON EARLY CHILDHOOD CENTER"," ","N","N","N","N","Y","N","N","N","M"," ","PALESTINE ISD","001907","PK","EE","EE - PK","E"
"001907107","SOUTHSIDE EL"," ","N","N","N","N","N","N","N","N","M"," ","PALESTINE ISD","001907","03","02","02 - 03","E"
"001907110","STORY INT"," ","N","N","N","N","N","N","N","N","M"," ","PALESTINE ISD","001907","06","04","04 - 06","E"
"001908002","WESTWOOD H S"," ","N","N","N","N","N","N","N","N","M"," ","WESTWOOD ISD","001908","12","09","09 - 12","S"
