Name,Candidate,Party,Year,Election cycle,Amount,Race-Ethnicity
Aaron Pena,Aaron Pena,D,2009,2009-2010,35543.13,Hispanic
Aaron Pena,Aaron Pena,R,2010,2009-2010,70550,Hispanic
Aaron Pena,Aaron Pena,R,2011,2011-2012,58893.18,Hispanic
Abel Herrero,Abel Herrero,D,2009,2009-2010,167189.73,Hispanic
Abel Herrero,Abel Herrero,D,2012,2011-2012,538533,Hispanic
Abel Herrero,Abel Herrero,D,2013,2013-2014,95394.01,Hispanic
Abel Herrero,Abel Herrero,D,2014,2013-2014,134394.96,Hispanic
Al Edwards,Al Edwards,D,2009,2009-2010,35674.66,Black
Allan Ritter,Allan Ritter,D,2009,2009-2010,34728.82,White
Allan Ritter,Allan Ritter,R,2010,2009-2010,150300,White
Allan Ritter,Allan Ritter,R,2011,2011-2012,43958.3,White
Allan Ritter,Allan Ritter,R,2012,2011-2012,357082.25,White
Allan Ritter,Allan Ritter,R,2013,2013-2014,10000,White
Allen Fletcher,Allen Fletcher,R,2009,2009-2010,56395,White
Allen Fletcher,Allen Fletcher,R,2010,2009-2010,98233.8,White
Allen Fletcher,Allen Fletcher,R,2011,2011-2012,80257.5,White
Allen Fletcher,Allen Fletcher,R,2012,2011-2012,100607.34,White
Allen Fletcher,Allen Fletcher,R,2013,2013-2014,59665,White
Allen Fletcher,Allen Fletcher,R,2014,2013-2014,141210.24,White
Allen Vaught,Allen Vaught,R,2009,2009-2010,42401.64,White
Alma Allen,Alma Allen,D,2009,2009-2010,10350,Black
Alma Allen,Alma Allen,D,2010,2009-2010,44819.62,Black
Alma Allen,Alma Allen,D,2011,2011-2012,5565,Black
Alma Allen,Alma Allen,D,2012,2011-2012,247072.56,Black
Alma Allen,Alma Allen,D,2013,2013-2014,8877.27,Black
Alma Allen,Alma Allen,D,2014,2013-2014,106550.05,Black
Ana Hernandez,Ana Hernandez,D,2009,2009-2010,27238.72,Hispanic
Ana Hernandez,Ana Hernandez,D,2010,2009-2010,82086.12,Hispanic
Ana Hernandez,Ana Hernandez,D,2011,2011-2012,26305,Hispanic
Ana Hernandez,Ana Hernandez,D,2012,2011-2012,109676.07,Hispanic
Ana Hernandez,Ana Hernandez,D,2013,2013-2014,18100,Hispanic
Ana Hernandez,Ana Hernandez,D,2014,2013-2014,63392.84,Hispanic
Andrew S. Murr,Andrew S. Murr,R,2014,2013-2014,270800.51,White
Angie Chen Button,Angie Chen Button,R,2009,2009-2010,74056.57,Asian
Angie Chen Button,Angie Chen Button,R,2010,2009-2010,170658.42,Asian
Angie Chen Button,Angie Chen Button,R,2011,2011-2012,100297,Asian
Angie Chen Button,Angie Chen Button,R,2012,2011-2012,125990.16,Asian
Angie Chen Button,Angie Chen Button,R,2013,2013-2014,189636.13,Asian
Angie Chen Button,Angie Chen Button,R,2014,2013-2014,280773.09,Asian
Armando Martinez,Armando Martinez,D,2009,2009-2010,58388.16,Hispanic
Armando Martinez,Armando Martinez,D,2010,2009-2010,142510.62,Hispanic
Armando Martinez,Armando Martinez,D,2011,2011-2012,23821.93,Hispanic
Armando Martinez,Armando Martinez,D,2012,2011-2012,168868.67,Hispanic
Armando Martinez,Armando Martinez,D,2013,2013-2014,71895.36,Hispanic
Armando Martinez,Armando Martinez,D,2014,2013-2014,121018.92,Hispanic
Armando Walle,Armando Walle,D,2009,2009-2010,21865,Hispanic
Armando Walle,Armando Walle,D,2010,2009-2010,56384.38,Hispanic
Armando Walle,Armando Walle,D,2011,2011-2012,13425,Hispanic
Armando Walle,Armando Walle,D,2012,2011-2012,109243.53,Hispanic
Armando Walle,Armando Walle,D,2013,2013-2014,9450,Hispanic
Armando Walle,Armando Walle,D,2014,2013-2014,70206.41,Hispanic
Barbara Mallory Caraway,Barbara Mallory Caraway,D,2009,2009-2010,9956.64,White
Barbara Mallory Caraway,Barbara Mallory Caraway,D,2010,2009-2010,44809.23,White
Barbara Mallory Caraway,Barbara Mallory Caraway,D,2011,2011-2012,1998.54,White
Barbara Nash,Barbara Nash,R,2010,2009-2010,349577.58,White
Barbara Nash,Barbara Nash,R,2011,2011-2012,22496.34,White
Bennett Ratliff,Bennett Ratliff,R,2012,2011-2012,326648.31,White
Bennett Ratliff,Bennett Ratliff,R,2013,2013-2014,171545.38,White
Betty Brown,Betty Brown,R,2009,2009-2010,29449.72,White
Beverly Woolley,Beverly Woolley,R,2009,2009-2010,3250,White
Beverly Woolley,Beverly Woolley,R,2010,2009-2010,65564.16,White
Bob Hall,Bob Hall,R,2014,2013-2014,450800.22,White
Borris Miles,Borris Miles,D,2010,2009-2010,36600,Black
Borris Miles,Borris Miles,D,2011,2011-2012,29000,Black
Borris Miles,Borris Miles,D,2012,2011-2012,72869.28,Black
Borris Miles,Borris Miles,D,2014,2013-2014,78575,Black
Brandon Creighton,Brandon Creighton,R,2009,2009-2010,62990.35,White
Brandon Creighton,Brandon Creighton,R,2010,2009-2010,162652.17,White
Brandon Creighton,Brandon Creighton,R,2011,2011-2012,115745,White
Brian Birdwell,Brian Birdwell,R,2010,2009-2010,533998.3,White
Brian Birdwell,Brian Birdwell,R,2011,2011-2012,189183.24,White
Brian Birdwell,Brian Birdwell,R,2012,2011-2012,358763.03,White
Brian Birdwell,Brian Birdwell,R,2013,2013-2014,46360,White
Brian Birdwell,Brian Birdwell,R,2014,2013-2014,284900,White
Brian McCall,Brian McCall,R,2009,2009-2010,138050,White
Brooks Landgraf,Brooks Landgraf,R,2014,2013-2014,194456.35,White
Bryan Hughes,Bryan Hughes,R,2009,2009-2010,73578.26,White
Bryan Hughes,Bryan Hughes,R,2010,2009-2010,54910,White
Bryan Hughes,Bryan Hughes,R,2011,2011-2012,30604.53,White
Bryan Hughes,Bryan Hughes,R,2012,2011-2012,205287.33,White
Bryan Hughes,Bryan Hughes,R,2013,2013-2014,26124,White
Bryan Hughes,Bryan Hughes,R,2014,2013-2014,124385.45,White
Burt Solomons,Burt Solomons,R,2009,2009-2010,119055.94,White
Burt Solomons,Burt Solomons,R,2010,2009-2010,386882.1,White
Burt Solomons,Burt Solomons,R,2011,2011-2012,14500,White
Byron Cook,Byron Cook,R,2009,2009-2010,75101.63,White
Byron Cook,Byron Cook,R,2010,2009-2010,227807.43,White
Byron Cook,Byron Cook,R,2011,2011-2012,35750,White
Byron Cook,Byron Cook,R,2012,2011-2012,475982.77,White
Byron Cook,Byron Cook,R,2013,2013-2014,115330.81,White
Byron Cook,Byron Cook,R,2014,2013-2014,398295.06,White
Carl Isett,Carl Isett,R,2009,2009-2010,51870,White
Carlos Uresti,Carlos Uresti,D,2009,2009-2010,105255,Hispanic
