County,School year,Exemption rate
Anderson,2010-2011,0.45
Anderson,2011-2012,0.27
Anderson,2017-2018,1.36
Anderson,2019-2020,1.54
Anderson,2014-2015,0.58
Anderson,2018-2019,2.14
Anderson,2016-2017,1.55
Anderson,2015-2016,0.65
Anderson,2013-2014,0.79
Anderson,2012-2013,2.05
Andrews,2016-2017,0.97
Andrews,2010-2011,0.71
Andrews,2011-2012,0.35
Andrews,2014-2015,0.89
Andrews,2017-2018,1.21
Andrews,2018-2019,2.47
Andrews,2012-2013,0.97
Andrews,2013-2014,0.35
Andrews,2015-2016,1.35
Andrews,2019-2020,0.95
Angelina,2016-2017,1.17
Angelina,2013-2014,1.1
Angelina,2017-2018,1.51
Angelina,2014-2015,0.6
Angelina,2019-2020,1.82
Angelina,2015-2016,1.65
Angelina,2018-2019,1.72
Angelina,2012-2013,0.84
Angelina,2010-2011,0.38
Angelina,2011-2012,0.35
Aransas,2015-2016,1.43
Aransas,2013-2014,2.23
Aransas,2018-2019,1.06
Aransas,2010-2011,1.14
Aransas,2017-2018,1.19
Aransas,2012-2013,0
Aransas,2016-2017,2.08
Aransas,2011-2012,0
Aransas,2014-2015,1.11
Aransas,2019-2020,2.55
Archer,2017-2018,0
Archer,2018-2019,1.55
Archer,2016-2017,0
Archer,2013-2014,0.81
Archer,2014-2015,2.22
Archer,2010-2011,0.86
Archer,2012-2013,1.53
Archer,2011-2012,0.88
Archer,2019-2020,1.4
Archer,2015-2016,0
Armstrong,2012-2013,0
Armstrong,2013-2014,0
Armstrong,2014-2015,3.7
Armstrong,2011-2012,0
Armstrong,2019-2020,7.4
Armstrong,2017-2018,0
Armstrong,2010-2011,0
Armstrong,2015-2016,0
Armstrong,2018-2019,3.22
Armstrong,2016-2017,4.16
Atascosa,2014-2015,0.29
Atascosa,2015-2016,0.46
Atascosa,2013-2014,0.3
Atascosa,2012-2013,0.88
Atascosa,2018-2019,1.62
Atascosa,2017-2018,0.93
Atascosa,2010-2011,0
Atascosa,2011-2012,0.3
Atascosa,2019-2020,0.33
Atascosa,2016-2017,1.28
Austin,2018-2019,3.39
Austin,2014-2015,1.12
Austin,2010-2011,0.82
Austin,2016-2017,2.09
Austin,2013-2014,1.11
Austin,2015-2016,2.33
Austin,2019-2020,1.88
Austin,2012-2013,0.93
Austin,2011-2012,0.49
Austin,2017-2018,1.65
Bailey,2010-2011,0.8
Bailey,2012-2013,0
Bailey,2013-2014,0
Bailey,2011-2012,0.81
Bailey,2015-2016,0.9
Bailey,2014-2015,0
Bailey,2019-2020,1.12
Bailey,2018-2019,1.09
Bailey,2017-2018,1
Bailey,2016-2017,1.76
Bandera,2014-2015,4.21
Bandera,2019-2020,4.37
Bandera,2017-2018,2.11
Bandera,2013-2014,3.07
Bandera,2012-2013,2.65
Bandera,2011-2012,0.68
Bandera,2018-2019,1.06
Bandera,2010-2011,0.56
Bandera,2015-2016,1.32
Bandera,2016-2017,5.38
Bastrop,2012-2013,1.31
Bastrop,2017-2018,1.89
Bastrop,2015-2016,1.68
Bastrop,2010-2011,1.67
Bastrop,2018-2019,2.18
Bastrop,2011-2012,2.09
Bastrop,2016-2017,3.37
Bastrop,2014-2015,2.47
Bastrop,2019-2020,2.72
Bastrop,2013-2014,1.96
Baylor,2013-2014,0
Baylor,2010-2011,1.75
Baylor,2012-2013,1.96
Baylor,2011-2012,2.12
Baylor,2014-2015,1.81
Baylor,2019-2020,0
Baylor,2016-2017,0
Baylor,2017-2018,2.12
Baylor,2018-2019,1.78
Baylor,2015-2016,0
Bee,2016-2017,0
Bee,2011-2012,0.46
Bee,2018-2019,0.52
Bee,2019-2020,0.76
Bee,2017-2018,0
Bee,2012-2013,0.24
Bee,2010-2011,0.72
Bee,2014-2015,0.24
Bee,2013-2014,0
Bee,2015-2016,0.25
Bell,2017-2018,1.61
Bell,2011-2012,0.66
Bell,2010-2011,0.4
Bell,2014-2015,0.83
Bell,2019-2020,2.48
Bell,2013-2014,0.83
Bell,2018-2019,2.38
Bell,2015-2016,1.47
Bell,2012-2013,0.63
Bell,2016-2017,1.54
Bexar,2017-2018,1.32
Bexar,2015-2016,0.92
Bexar,2019-2020,1.77
Bexar,2011-2012,0.73
Bexar,2013-2014,0.78
Bexar,2018-2019,1.6
Bexar,2014-2015,0.8
Bexar,2010-2011,0.43
Bexar,2012-2013,0.58
Bexar,2016-2017,1.16
Blanco,2016-2017,6
Blanco,2010-2011,1.5
Blanco,2017-2018,3.48
Blanco,2013-2014,5.3
Blanco,2019-2020,7.36
Blanco,2012-2013,1.7
Blanco,2018-2019,3.92
Blanco,2015-2016,1.96
Blanco,2014-2015,5.12
Blanco,2011-2012,4.23
Borden,2014-2015,0
Borden,2010-2011,0
Borden,2018-2019,12.5
Borden,2015-2016,5.88
Borden,2017-2018,0
Borden,2011-2012,15.38
Borden,2019-2020,0
Borden,2016-2017,0
Borden,2012-2013,0
Borden,2013-2014,0
Bosque,2014-2015,0
Bosque,2019-2020,3.78
Bosque,2016-2017,2.16
Bosque,2013-2014,0
Bosque,2012-2013,0.87
Bosque,2011-2012,0.87
Bosque,2010-2011,0
Bosque,2017-2018,1.57
Bosque,2015-2016,0.48
Bosque,2018-2019,3.33
Bowie,2016-2017,1.88
Bowie,2012-2013,1.52
Bowie,2017-2018,1.94
Bowie,2019-2020,2.5
Bowie,2011-2012,1.19
Bowie,2015-2016,1.6
Bowie,2018-2019,2.39
Bowie,2013-2014,1.6
Bowie,2010-2011,1.41
Bowie,2014-2015,1.9
Brazoria,2014-2015,1.36
Brazoria,2012-2013,0.84
Brazoria,2011-2012,0.79
Brazoria,2016-2017,1.02
Brazoria,2010-2011,0.49
Brazoria,2018-2019,1.71
Brazoria,2017-2018,1.69
Brazoria,2019-2020,1.86
Brazoria,2013-2014,1.06
Brazoria,2015-2016,1.11
Brazos,2010-2011,0.83
Brazos,2011-2012,0.63
Brazos,2014-2015,0.72
Brazos,2019-2020,1.69
Brazos,2016-2017,1.51
Brazos,2012-2013,0.81
Brazos,2017-2018,1.21
Brazos,2015-2016,0.86
Brazos,2013-2014,0.66
Brazos,2018-2019,1.33
Brewster,2011-2012,0
Brewster,2014-2015,2.46
Brewster,2012-2013,2.04
Brewster,2013-2014,2.53
Brewster,2010-2011,0
Brewster,2019-2020,18.47
Brewster,2016-2017,2.35
Brewster,2017-2018,3
Brewster,2015-2016,0.91
Brewster,2018-2019,4.7
Briscoe,2016-2017,0
Briscoe,2019-2020,0
Briscoe,2014-2015,0
Briscoe,2017-2018,0
Briscoe,2011-2012,0
Briscoe,2018-2019,0
Briscoe,2013-2014,0
Briscoe,2015-2016,0
Briscoe,2012-2013,0
Briscoe,2010-2011,12.5
Brooks,2015-2016,0
Brooks,2013-2014,0
Brooks,2012-2013,0
Brooks,2011-2012,0
Brooks,2018-2019,0.93
Brooks,2017-2018,0.67
Brooks,2016-2017,0
Brooks,2010-2011,0
Brooks,2014-2015,0
Brooks,2019-2020,0
Brown,2017-2018,1.07
Brown,2016-2017,0.65
Brown,2011-2012,0.2
Brown,2018-2019,3.39
Brown,2014-2015,1.01
Brown,2010-2011,0.74
Brown,2013-2014,0.4
Brown,2019-2020,2.5
Brown,2015-2016,1.05
Brown,2012-2013,1.3
Burleson,2010-2011,0
Burleson,2015-2016,0.52
Burleson,2013-2014,0
Burleson,2019-2020,0.44
Burleson,2011-2012,0
Burleson,2014-2015,0
Burleson,2016-2017,0
